¶	ADJcar	¶
espee	NOMcom	espee
quar	CONcoo	car
pres	ADVgen	près
estoit	VERcjg	estre
de	PRE	de
la	DETdef	le
vespree	NOMcom	vespree
.	PONfrt	.

Oiez	VERcjg	ouïr
comment	ADVsub	comment
il	PROper	il
esploita	VERcjg	exploiter
!	PONfrt	!

Droit	ADJqua	droit
a	PRE	a
Bailluel	NOMpro	Beloeil
li	PROper	il
anuita	VERcjg	anuiter
en	PRE	en
mi	NOMcom	mi
voies	NOMcom	voie
de	PRE	de
son	DETpos	son
manoir	NOMcom	manoir
quar	CONcoo	car
tart	ADVgen	tart
estoit	VERcjg	estre
,	PONfbl	,
si	ADVgen	si
fist	VERcjg	faire
molt	ADVgen	moult
noir	ADJqua	noir
.	PONfrt	.

Penssa	VERcjg	penser
soi	PROper	soi
plus	ADVgen	plus
avant	ADVgen	avant
n'	ADVneg	ne
ira	VERcjg	aler
.	PONfrt	.

En	PRE	en
la	DETdef	le
vile	NOMcom	vile
herbregera	VERcjg	herbreger
.	PONfrt	.

Forment	ADVgen	fortement
doute	VERcjg	douter
la	DETdef	le
male	ADJqua	mal
gent	NOMcom	gent
que	CONsub	que
ne	ADVneg	ne
li	PROper	il
toillent	VERcjg	tolir
son	DETpos	son
argent	NOMcom	argent
dont	PROrel	dont
il	PROper	il
avoit	VERcjg	avoir
a	PRE	a
grant	ADJqua	grant
foison	NOMcom	foison
.	PONfrt	.

A	PRE	a
l'	DETdef	le
entree	NOMcom	entrée
d'	PRE	de
une	DETndf	un
meson	NOMcom	maison
trueve	VERcjg	trover
une	DETndf	un
povre	ADJqua	povre
fame	NOMcom	feme
estant	VERppa	être
.	PONfrt	.

Il	PROper	il
le	PROper	il
salue	VERcjg	salüer
et	CONcoo	et
dist	VERcjg	dire
itant	ADVgen	itant
:	PONfbl	:
“	PONpga	“
A	VERcjg	avoir
il	PROper	il
en	PRE	en
ceste	DETdem	cest
vile	NOMcom	vile
a	PRE	a
vendre	VERinf	vendre
riens	NOMcom	rien
nule	ADJind	nul
ou	PROrel	où
l'	PROper	il
en	PROind	on
peüst	VERcjg	pöoir
despendre	VERinf	dépendre
le	DETdef	le
sien	PROpos	sien
por	PRE	por
son	DETpos	son
cors	NOMcom	corps
aaisier	VERinf	aaisier
c'	CONsub	que
onques	ADVgen	onque
n'	ADVneg	ne
amai	VERcjg	amer
autrui	PROind	autre
dangier	NOMcom	dangier
?	PONfrt	?

”	PONpdr	”
La	DETdef	le
bone	ADJqua	bon
fame	NOMcom	feme
li	PROper	il
respont	VERcjg	respondre
:	PONfbl	:
“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
par	PRE	par
Dieu	NOMpro	Dieu
qui	PROrel	que
fist	VERcjg	faire
le	DETdef	le
mont	NOMcom	monde
,	PONfbl	,
ce	PROdem	ce
dist	VERcjg	dire
mon	DETpos	mon
baron	NOMcom	baron
sire	NOMcom	seignor
Mile	NOMpro	Mile
,	PONfbl	,
de	PRE	de
vin	NOMcom	vin
n'	ADVneg	ne
a	VERcjg	avoir
point	ADVneg	point
en	PRE	en
ceste	DETdem	cest
vile	NOMcom	vile
fors	PRE	fors
noz	DETpos	notre
prestres	NOMcom	prêtre
,	PONfbl	,
sire	NOMcom	seignor
Gautiers	NOMpro	Gauthier
,	PONfbl	,
a	PRE	a
.ii	PROcar	deus
.	PONfrt	.

tonniaus	NOMcom	tonneau
sor	PRE	sor
ses	DETpos	son
chantiers	NOMcom	chantier
qui	PROrel	que
li	PROper	il
vindrent	VERcjg	venir
de	PRE	de
Nojentel	NOMpro	Nojentel
.	PONfrt	.

Toz	DETind	tot
jors	NOMcom	jour
a	VERcjg	avoir
il	PROper	il
vin	NOMcom	vin
en	PRE	en
tonel	NOMcom	tonneau
.	PONfrt	.

Alez	VERcjg	aler
a	PRE	a
lui	PROper	il
por	PRE	por
ostel	NOMcom	ostel
prendre	VERinf	prendre
.	PONfrt	.

“	PONpga	“
Dame	NOMcom	dame
,	PONfbl	,
g'	PROper	je
i	PROadv	i
vois	VERcjg	aler
sanz	PRE	sans
plus	ADVgen	plus
atendre	VERinf	atendre
,	PONfbl	,
dist	VERcjg	dire
li	DETdef	le
bouchiers	NOMcom	bouchier
,	PONfbl	,
et	CONcoo	et
Diex	NOMpro	Dieu
vous	PROper	vous
saut	VERcjg	salir
!	PONfrt	!

“	PONpga	“
A	PRE	a
foi	NOMcom	foi
,	PONfbl	,
sire	NOMcom	seignor
,	PONfbl	,
Diex	NOMpro	Dieu
vous	PROper	vous
consaut	VERcjg	consaillir
!	PONfrt	!

”	PONpdr	”
Atant	ADVgen	atant
s'	PROper	soi
en	PROadv	en
part	VERcjg	partir
,	PONfbl	,
n'	ADVneg	ne
i	PROadv	i
vout	VERcjg	voloir
plus	ADVgen	plus
estre	VERinf	estre
.	PONfrt	.

Venuz	VERppe	venir
est	VERcjg	estre
au	PRE.DETdef	a
manoir	NOMcom	manoir
le	DETdef	le
prestre	NOMcom	prêtre
.	PONfrt	.

Li	DETdef	le
doiens	NOMcom	doyen
seoit	VERcjg	sëoir
sor	PRE	sor
son	DETpos	son
sueil	NOMcom	soeil
qui	PROrel	que
molt	ADVgen	moult
fu	VERcjg	estre
plains	ADJqua	plein
de	PRE	de
grant	ADJqua	grant
orgueil	NOMcom	orgueil
.	PONfrt	.

Cil	PROdem	cel
le	PROper	il
salue	VERcjg	salüer
et	CONcoo	et
puis	ADVgen	puis
li	PROper	il
dist	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Biaus	ADJqua	beau
sire	NOMcom	seignor
,	PONfbl	,
que	PROrel	que
Diex	NOMpro	Dieu
vous	PROper	vous
aït	VERcjg	aidier
,	PONfbl	,
herbregiez	VERcjg	herbregier
moi	PROper	je
par	PRE	par
charité	NOMcom	charité
,	PONfbl	,
si	ADVgen	si
ferez	VERcjg	faire
honor	NOMcom	honneur
et	CONcoo	et
bonté	NOMcom	bonté
.	PONfrt	.

“	PONpga	“
Preudom	NOMcom	pro
,	PONfbl	,
fet	VERcjg	faire
il	PROper	il
,	PONfbl	,
Diex	NOMpro	Dieu
vous	PROper	vous
herbert	VERcjg	herbertir
quar	CONcoo	car
foi	NOMcom	foi
que	PROrel	que
doi	VERcjg	devoir
a	PRE	a
saint	ADJqua	saint
Herbert	NOMpro	Hébert
,	PONfbl	,
lais	ADJqua	lai
hom	NOMcom	homme
ceenz	ADVgen	cenz
ja	ADVgen	ja
ne	ADVneg	ne
girra	VERcjg	jesir
!	PONfrt	!

Bien	ADVgen	bien
ert	VERcjg	être
qui	PROrel	que
vous	PROper	vous
herbregera	VERcjg	herbreger
en	PRE	en
cele	DETdem	cil
vile	NOMcom	vile
la	ADVgen	là
aval	ADVgen	aval
.	PONfrt	.

Querez	VERcjg	querre
tant	ADVgen	tant
amont	ADVgen	amont
et	CONcoo	et
aval	ADVgen	aval
que	CONsub	que
vous	PROper	vous
puissiez	VERcjg	pöoir
ostel	NOMcom	ostel
avoir	VERinf	avoir
quar	CONcoo	car
je	PROper	je
vous	PROper	vous
faz	VERcjg	faire
bien	ADVgen	bien
asavoir	VERinf	assavoir
ja	ADVgen	ja
ne	ADVneg	ne
girrez	VERcjg	jesir
en	PRE	en
cest	DETdem	cest
porpris	NOMcom	porpris
.	PONfrt	.

Autre	DETind	autre
gent	NOMcom	gent
i	PROadv	i
ont	VERcjg	avoir
ostel	NOMcom	ostel
pris	VERppe	prendre
ne	CONcoo	ne
ce	PROdem	ce
n'	ADVneg	ne
est	VERcjg	estre
pas	ADVneg	pas
costume	NOMcom	costume
a	PRE	a
prestre	NOMcom	prêtre
que	CONsub	que
vilains	ADJqua	vilain
hom	NOMcom	homme
gise	VERcjg	jesir
en	PRE	en
son	DETpos	son
estre	NOMcom	être
.	PONfrt	.

“	PONpga	“
Vilains	NOMcom	vilain
?	PONfrt	?

Sire	NOMcom	seignor
,	PONfbl	,
qu'	PROint	que
avez	VERcjg	avoir
vous	PROper	vous
dit	VERppe	dire
?	PONfrt	?

Tenez	VERcjg	tenir
vous	PROper	vous
lai	ADJqua	lai
homme	NOMcom	homme
en	PRE	en
despit	NOMcom	despit
?	PONfrt	?

“	PONpga	“
Oïl	ADVgen	öil
,	PONfbl	,
dist	VERcjg	dire
il	PROper	il
,	PONfbl	,
si	ADVgen	si
ai	VERcjg	avoir
reson	NOMcom	raison
!	PONfrt	!

Alez	VERcjg	aler
ensus	ADVgen	ensus
de	PRE	de
ma	DETpos	mon
meson	NOMcom	maison
!	PONfrt	!

Il	PROimp	il
m'	PROper	je
est	VERcjg	estre
avis	NOMcom	avis
ce	PROdem	ce
soit	VERcjg	estre
ramposne	NOMcom	ramposne
.	PONfrt	.

“	PONpga	“
Non	ADVneg	non
est	VERcjg	estre
,	PONfbl	,
sire	NOMcom	seignor
,	PONfbl	,
ainz	ADVgen	ainz
seroit	VERcjg	estre
aumosne	NOMcom	aumône
s'	CONsub	se
anuit	ADVgen	anuit
mes	ADVgen	mais
me	PROper	je
prestiez	VERcjg	prester
l'	DETdef	le
ostel	NOMcom	ostel
que	PROrel	que
je	PROper	je
n'	ADVneg	ne
en	PROadv	en
puis	VERcjg	pöoir
trover	VERinf	trover
nul	DETind	nul
tel	ADJind	tel
.	PONfrt	.

Je	PROper	je
sai	VERcjg	savoir
molt	ADVgen	moult
bien	ADVgen	bien
le	DETdef	le
mien	PROpos	mon
despendre	VERinf	dépendre
.	PONfrt	.

Se	CONsub	se
rien	NOMcom	rien
nule	ADJind	nul
me	PROper	je
volez	VERcjg	voloir
vendre	VERinf	vendre
,	PONfbl	,
molt	ADVgen	moult
volentiers	ADVgen	volentiers
l'	PROper	il
achaterai	VERcjg	acheter
et	CONcoo	et
molt	ADVgen	moult
bon	ADJqua	bon
gré	NOMcom	gré
vous	PROper	vous
en	PROadv	en
savrai	VERcjg	savoir
quar	CONcoo	car
je	PROper	je
ne	ADVneg	ne
vous	PROper	vous
vueil	VERcjg	vouloir
rien	PROind	rien
couster	VERinf	coster
.	PONfrt	.

“	PONpga	“
Ausi	ADVgen	aussi
bien	ADVgen	bien
te	PROper	tu
vendroit	VERcjg	venir
hurter	VERinf	hurter
ta	DETpos	ton
teste	NOMcom	teste
a	PRE	a
cele	DETdem	cil
dure	ADJqua	dur
pierre	NOMcom	piere
,	PONfbl	,
ce	PROdem	ce
dist	VERcjg	dire
li	DETdef	le
doiens	NOMcom	doyen
,	PONfbl	,
par	PRE	par
saint	ADJqua	saint
Piere	NOMpro	Pierre
!	PONfrt	!

Ja	ADVgen	ja
ne	ADVneg	ne
girras	VERcjg	jesir
en	PRE	en
mon	DETpos	mon
manoir	NOMcom	manoir
!	PONfrt	!

“	PONpga	“
Deable	NOMcom	dïable
i	PROadv	i
puissent	VERcjg	pöoir
remanoir	VERinf	remanoir
,	PONfbl	,
dist	VERcjg	dire
li	DETdef	le
bouchiers	NOMcom	bouchier
,	PONfbl	,
fols	ADJqua	fou
chapelains	NOMcom	chapelain
!	PONfrt	!

Pautoniers	NOMcom	pautonier
estes	VERcjg	estre
et	CONcoo	et
vilains	ADJqua	vilain
!	PONfrt	!

”	PONpdr	”
Atant	ADVgen	atant
s'	PROper	soi
en	PROadv	en
part	VERcjg	partir
,	PONfbl	,
ne	ADVneg	ne
volt	VERcjg	vouloir
plus	ADVgen	plus
dire	VERinf	dire
.	PONfrt	.

Plains	ADJqua	plein
fu	VERcjg	estre
de	PRE	de
grant	ADJqua	grant
corouz	NOMcom	courroux
et	CONcoo	et
d'	PRE	de
ire	NOMcom	ire
.	PONfrt	.

Oiez	VERcjg	ouïr
comment	ADVsub	comment
il	PROimp	il
li	PROper	il
avint	VERcjg	advenir
!	PONfrt	!

Quant	CONsub	quand
il	PROper	il
fors	ADVgen	fors
de	PRE	de
la	DETdef	le
vile	NOMcom	vile
vint	VERcjg	venir
,	PONfbl	,
devant	PRE	devant
une	DETndf	un
gaste	ADJqua	gast
meson	NOMcom	maison
dont	PROrel	dont
cheü	VERppe	chëoir
furent	VERcjg	estre
li	DETdef	le
chevron	NOMcom	chevron
encontre	PRE	encontre
.i	PROind	un
.	PONfrt	.

grant	ADJqua	grant
tropé	NOMcom	tropé
d'	PRE	de
oeilles	NOMcom	ouaille
.	PONfrt	.

Por	PRE	por
Dieu	NOMpro	Dieu
,	PONfbl	,
or	ADVgen	or
escoutez	VERcjg	escouter
merveilles	NOMcom	merveille
!	PONfrt	!

Il	PROper	il
demanda	VERcjg	demander
au	PRE.DETdef	a
pastorel	NOMcom	pastoureau
qui	PROrel	que
mainte	DETind	maint
vache	NOMcom	vache
et	CONcoo	et
maint	DETind	maint
torel	NOMcom	torreau
avoit	VERcjg	avoir
gardé	VERppe	garder
en	PRE	en
sa	DETpos	son
jonece	NOMcom	jeunesse
:	PONfbl	:
“	PONpga	“
Paistres	NOMpro	Paistre
,	PONfbl	,
que	PROrel	que
Diex	NOMpro	Dieu
te	PROper	tu
doinst	VERcjg	donner
leece	NOMcom	lëece
,	PONfbl	,
cui	PROrel	que
cist	DETdem	cest
avoirs	NOMcom	avoir
?	PONfrt	?

”	PONpdr	”
“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
le	DETdef	le
prestre	NOMcom	prêtre
.	PONfrt	.

“	PONpga	“
De	PRE	de
par	PRE	par
Dieu	NOMpro	Dieu
,	PONfbl	,
fet	VERcjg	faire
il	PROper	il
,	PONfbl	,
puist	VERcjg	pouvoir
ce	PROdem	ce
estre	VERinf	estre
!	PONfrt	!

”	PONpdr	”
Or	ADVgen	or
oiez	VERcjg	öir
que	PROrel	que
li	DETdef	le
bouchiers	NOMcom	bouchier
fist	VERcjg	faire
.	PONfrt	.

Si	ADVgen	si
coiement	ADVgen	coiement
.i	PROind	un
.	PONfrt	.

mouton	NOMcom	mouton
prist	VERcjg	prendre
que	CONsub	que
li	DETdef	le
paistres	NOMcom	paître
ne	ADVneg	ne
s'	PROper	soi
en	PROadv	en
perçut	VERcjg	percevoir
.	PONfrt	.

Bien	ADVgen	bien
l'	PROper	il
a	VERcjg	avoir
engingnié	VERppe	engigner
et	CONcoo	et
deçut	VERppe	decevoir
!	PONfrt	!

Maintenant	ADVgen	maintenant
a	PRE	a
son	DETpos	son
col	NOMcom	col
le	PROper	il
rue	VERcjg	ruer
.	PONfrt	.

Parmi	PRE	parmi
une	DETndf	un
foraine	ADJqua	forain
rue	NOMcom	rue
revient	VERcjg	revenir
a	PRE	a
l'	DETdef	le
uis	NOMcom	uis
le	DETdef	le
prestre	NOMcom	prêtre
arriere	ADVgen	ariere
,	PONfbl	,
qui	PROrel	que
molt	ADVgen	moult
fu	VERcjg	estre
fel	ADJqua	felon
de	PRE	de
grant	ADJqua	grant
maniere	NOMcom	manière
,	PONfbl	,
si	ADVgen	si
comme	CONsub	comme
il	PROper	il
dut	VERcjg	devoir
clorre	VERinf	clore
la	DETdef	le
porte	NOMcom	porte
,	PONfbl	,
et	CONcoo	et
cil	PROdem	cel
qui	PROrel	que
le	DETdef	le
mouton	NOMcom	mouton
aporte	VERcjg	aporter
li	PROper	il
dist	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
cil	DETdem	cil
Diex	NOMpro	Dieu
vous	PROper	vous
saut	VERcjg	salir
qui	PROrel	que
sor	PRE	sor
toz	DETind	tot
hommes	NOMcom	homme
puet	VERcjg	pöoir
et	CONcoo	et
vaut	VERcjg	valoir
!	PONfrt	!

”	PONpdr	”
Li	DETdef	le
doiens	NOMcom	doyen
son	DETpos	son
salu	NOMcom	salut
li	PROper	il
rent	VERcjg	rendre
,	PONfbl	,
puis	ADVgen	puis
li	PROper	il
demande	VERcjg	demander
isnelement	ADVgen	isnellement
:	PONfbl	:
“	PONpga	“
Dont	PROint	dont
es	VERcjg	être
tu	PROper	tu
?	PONfrt	?

”	PONpdr	”
“	PONpga	“
D'	PRE	de
Abevile	NOMpro	Abeville
sui	VERcjg	estre
.	PONfrt	.

A	PRE	a
Oisemont	NOMpro	Oisemont
au	PRE.DETdef	a
marchié	NOMcom	marché
fui	VERcjg	estre
.	PONfrt	.

N'	ADVneg	ne
i	PROadv	i
achetai	VERcjg	acheter
que	ADVgen	que
cest	DETdem	cest
mouton	NOMcom	mouton
,	PONfbl	,
mes	CONcoo	mais
il	PROper	il
a	VERcjg	avoir
molt	ADVgen	moult
cras	ADJqua	cras
le	DETdef	le
crepon	NOMcom	crepon
.	PONfrt	.

Se	CONsub	se
anuit	ADVgen	anuit
mes	ADVgen	mais
me	PROper	je
herbregiez	VERcjg	herbregier
,	PONfbl	,
que	CONsub	que
bien	ADVgen	bien
en	PROadv	en
estes	VERcjg	estre
aaisiez	VERppe	aisier
,	PONfbl	,
je	PROper	je
ne	ADVneg	ne
sui	VERcjg	estre
avers	ADJqua	avers
ne	CONcoo	ne
eschars	NOMcom	eschars
:	PONfbl	:
anuit	ADVgen	anuit
ert	VERcjg	être
mengie	VERppe	manger
la	DETdef	le
chars	NOMcom	chair
de	PRE	de
cest	DETdem	cest
mouton	NOMcom	mouton
por	PRE	por
qu'	PROrel	que
il	PROimp	il
vous	PROper	vous
plaise	VERcjg	plaire
quar	CONcoo	car
aporté	VERppe	aporter
l'	PROper	il
ai	VERcjg	avoir
a	PRE	a
malaise	NOMcom	malaise
.	PONfbl	.
”	PONpdr	”
Li	DETdef	le
doiens	VERcjg	devoir
pensse	VERcjg	penser
qu'	PROrel	que
il	PROper	il
dit	VERcjg	dire
voir	ADJqua	voir
,	PONfbl	,
qui	PROrel	que
molt	ADVgen	moult
goulouse	VERcjg	goulouser
autrui	PROind	autre
avoir	VERinf	avoir
.	PONfrt	.

Miex	ADVgen	mieux
aime	VERcjg	amer
.i	PROind	un
.	PONfrt	.

mort	VERppe	mourir
que	CONsub	que
.iiii	PROcar	catre
.	PONfrt	.

vis	ADJqua	vif
!	PONfrt	!

Dist	VERcjg	dire
ainsi	ADVgen	ainsi
,	PONfbl	,
comme	CONsub	comme
il	PROimp	il
m'	PROper	je
est	VERcjg	estre
avis	NOMcom	avis
:	PONfbl	:
“	PONpga	“
Oïl	ADVgen	öil
,	PONfbl	,
certes	ADVgen	certes
,	PONfbl	,
molt	ADVgen	moult
volentiers	ADVgen	volentiers
!	PONfrt	!

Se	CONsub	se
vous	PROper	vous
estiez	VERcjg	estre
ore	ADVgen	or
vous	PROper	vous
tiers	ADJord	tiers
,	PONfbl	,
s'	ADVgen	si
auriez	VERcjg	avoir
vous	PROper	vous
ostel	NOMcom	ostel
a	PRE	a
talent	NOMcom	talent
.	PONfrt	.

Ainz	ADVgen	ains
nus	DETind	nul
hom	NOMcom	homme
ne	ADVneg	ne
me	PROper	je
trova	VERcjg	trover
lent	ADJqua	lent
de	PRE	de
cortoisie	NOMcom	cortoisie
et	CONcoo	et
d'	PRE	de
onor	NOMcom	honneur
fere	VERinf	faire
!	PONfrt	!

Vous	PROper	vous
me	PROper	je
samblez	VERcjg	sembler
molt	ADVgen	moult
debonere	ADJqua	debonaire
.	PONfrt	.

Dites	VERcjg	dire
moi	PROper	je
comment	ADVsub	comment
avez	VERcjg	avoir
non	NOMcom	nom
.	PONfrt	.

“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
par	PRE	par
Dieu	NOMpro	Dieu
et	CONcoo	et
par	PRE	par
son	DETpos	son
non	NOMcom	nom
,	PONfbl	,
j'	PROper	je
ai	VERcjg	avoir
non	NOMcom	nom
David	NOMpro	David
en	PRE	en
droit	ADJqua	droit
baptesme	NOMcom	baptême
quant	CONsub	cant
je	PROper	je
reçui	VERcjg	recevoir
et	CONcoo	et
huile	NOMcom	huile
et	CONcoo	et
cresme	NOMcom	chrême
.	PONfrt	.

Traveilliez	VERppe	travaillier
sui	VERcjg	estre
en	PRE	en
ceste	DETdem	cest
voie	NOMcom	voie
.	PONfrt	.

Ja	ADVgen	ja
Damediex	NOMpro	Damedieu
celui	PROdem	cel
ne	ADVneg	ne
voie	VERcjg	vëoir
,	PONfbl	,
a	PRE	a
foi	NOMcom	foi
,	PONfbl	,
cui	PROrel	que
ceste	DETdem	cest
beste	NOMcom	beste
fu	VERcjg	estre
!	PONfrt	!

Tans	NOMcom	tanc
est	VERcjg	estre
huimes	ADVgen	ui
d'	PRE	de
aler	VERinf	aler
au	PRE.DETdef	a
fu	NOMcom	feu
!	PONfrt	!

”	PONpdr	”
Atant	ADVgen	atant
s'	PROper	soi
en	PROadv	en
vont	VERcjg	aler
en	PRE	en
la	DETdef	le
meson	NOMcom	maison
ou	PROrel	où
le	DETdef	le
feu	NOMcom	feu
estoit	VERcjg	estre
de	PRE	de
seson	NOMcom	saison
.	PONfrt	.

Lors	ADVgen	lors
a	VERcjg	avoir
sa	DETpos	son
beste	NOMcom	beste
mise	VERppe	metre
jus	ADVgen	jus
puis	ADVgen	puis
a	VERcjg	avoir
regardé	VERppe	regarder
sus	ADVgen	sus
et	CONcoo	et
jus	ADVgen	jus
.	PONfrt	.

Une	DETndf	un
coingnie	NOMcom	coignie
a	VERcjg	avoir
demandee	VERppe	demander
et	CONcoo	et
on	PROind	on
li	PROper	il
a	VERcjg	avoir
tost	ADVgen	tost
aportee	VERppe	aporter
.	PONfrt	.

Sa	DETpos	son
beste	NOMcom	beste
tue	ADJpos	ton
et	CONcoo	et
puis	ADVgen	puis
l'	PROper	il
escorce	VERcjg	escorcier
.	PONfrt	.

Sor	PRE	sor
.i	PROind	un
.	PONfrt	.

banc	NOMcom	banc
en	PROadv	en
geta	VERcjg	jeter
l'	DETdef	le
escorce	NOMcom	escorce
,	PONfbl	,
puis	ADVgen	puis
le	PROper	il
pendi	VERcjg	pendre
lor	DETpos	lor
iex	NOMcom	œil
voiant	VERppa	voir
.	PONfrt	.

“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
por	PRE	por
Dieu	NOMpro	Dieu
,	PONfbl	,
venez	VERcjg	venir
avant	ADVgen	avant
!	PONfrt	!

Por	PRE	por
amor	NOMcom	amor
Dieu	NOMpro	Dieu
,	PONfbl	,
or	ADVgen	or
esgardez	VERcjg	esgarder
com	ADVsub	comme
cis	DETdem	cist
moutons	NOMcom	mouton
est	VERcjg	estre
amendez	VERppe	amender
!	PONfrt	!

Veez	VERcjg	vëoir
comme	ADVsub	comme
est	VERcjg	estre
cras	ADJqua	cras
et	CONcoo	et
refais	VERppe	refaire
!	PONfrt	!

Mes	CONcoo	mais
molt	ADVgen	moult
m'	PROper	je
en	PROadv	en
a	VERcjg	avoir
pesé	VERppe	peser
le	DETdef	le
fais	NOMcom	faix
que	CONsub	que
de	PRE	de
molt	ADVgen	moult
loing	ADVgen	loing
l'	PROper	il
ai	VERcjg	avoir
aporté	VERppe	aporter
!	PONfrt	!

Or	ADVgen	or
en	PROadv	en
fetes	VERcjg	faire
vo	DETpos	votre
volenté	NOMcom	volonté
.	PONfrt	.

Cuisiez	VERcjg	cuire
les	DETdef	le
espaules	NOMcom	espaule
en	PRE	en
rost	NOMcom	rost
,	PONfbl	,
s'	PROper	soi
en	PROadv	en
fetes	VERcjg	faire
metre	VERinf	metre
plain	ADJqua	plein
.i	NOMcom	di
.	PONfrt	.

pot	VERcjg	pöoir
en	PRE	en
essau	NOMcom	essau
avoec	PRE	avuec
la	DETdef	le
mesnie	NOMcom	maisniee
.	PONfrt	.

Je	PROper	je
ne	ADVneg	ne
di	VERcjg	dire
mie	ADVneg	mie
vilonie	NOMcom	vilonie
,	PONfbl	,
ainz	ADVgen	ainz
mes	ADVgen	mais
