¶	ADJcar	¶
rois	NOMcom	roi
en	PROadv	en
dut	VERcjg	devoir
avoir	VERinf	avoir
mist	VERcjg	mettre
l'	PROper	il
en	PROadv	en
en	PRE	en
une	DETndf	un
seue	ADJpos	sien
male	ADJqua	mal
.	PONfrt	.

Cil	PROdem	cel
qui	PROrel	que
le	DETdef	le
vis	NOMcom	vis
ot	VERcjg	avoir
taint	VERppe	teindre
et	CONcoo	et
pale	ADJqua	pale
le	PROper	il
charja	VERcjg	chargier
a	PRE	a
.i	PROind	un
.	PONfrt	.

sien	ADJpos	sien
compere	NOMcom	comparer
,	PONfbl	,
sor	PRE	sor
Dieu	NOMpro	Dieu
et	CONcoo	et
sor	PRE	sor
l'	DETdef	le
ame	NOMcom	ame
son	DETpos	son
pere	NOMcom	père
,	PONfbl	,
que	CONcoo	que
presenter	VERinf	présenter
l'	PROper	il
alast	VERcjg	aler
au	PRE.DETdef	a
roi	NOMcom	roi
que	CONsub	que
s'	DETpos	son
ame	NOMcom	ame
ne	ADVneg	ne
fust	VERcjg	estre
en	PRE	en
effroi	NOMcom	effroi
.	PONfrt	.

Quant	CONsub	quand
cil	PROdem	cel
fu	VERcjg	estre
mors	VERppe	mourir
,	PONfbl	,
il	PROper	il
ne	ADVneg	ne
se	PROper	soi
targe	VERcjg	targer
.	PONfrt	.

La	DETdef	le
male	ADJqua	mal
prent	VERcjg	prendre
et	CONcoo	et
si	ADVgen	si
l'	PROper	il
encharge	VERcjg	enchargier
;	PONfbl	;
dusques	ADVgen	dous
a	PRE	a
Londres	NOMpro	Londene
ne	ADVneg	ne
s'	PROper	soi
areste	VERcjg	arester
la	ADVgen	là
ou	PROrel	où
li	DETdef	le
rois	NOMcom	roi
tenoit	VERcjg	tenir
sa	DETpos	son
feste	NOMcom	fête
.	PONfrt	.

A	PRE	a
molt	ADVgen	moult
grant	ADJqua	grant
paine	NOMcom	peine
entre	VERcjg	entrer
en	PRE	en
la	DETdef	le
sale	NOMcom	sale
.	PONfrt	.

A	PRE	a
son	DETpos	son
col	NOMcom	col
ot	VERcjg	avoir
pendu	VERppe	pendre
la	DETdef	le
male	NOMcom	malle
qui	PROrel	que
molt	ADVgen	moult
estoit	VERcjg	estre
grant	ADJqua	grant
et	CONcoo	et
velue	ADJqua	velu
.	PONfrt	.

Le	DETdef	le
roi	NOMcom	roi
et	CONcoo	et
ses	DETpos	son
barons	NOMcom	baron
salue	VERcjg	salüer
:	PONfbl	:
“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
dist	VERcjg	dire
il	PROper	il
,	PONfbl	,
oiez	VERcjg	öir
mon	DETpos	mon
conte	NOMcom	conte
!	PONfrt	!

Je	PROper	je
vous	PROper	vous
aport	VERcjg	aporter
la	DETdef	le
male	ADJqua	mal
honte	NOMcom	honte
.	PONfrt	.

La	DETdef	le
male	ADJqua	mal
honte	NOMcom	honte
recevez	VERcjg	recevoir
quar	CONcoo	car
par	PRE	par
droit	NOMcom	droit
avoir	VERinf	avoir
la	PROper	il
devez	VERcjg	devoir
!	PONfrt	!

Par	PRE	par
saint	ADJqua	saint
Thomas	NOMpro	Tomas
le	DETdef	le
vrai	ADJqua	vrai
martir	NOMcom	martyr
,	PONfbl	,
je	PROper	je
la	PROper	il
vous	PROper	vous
ai	VERcjg	avoir
fet	VERppe	faire
si	ADVgen	si
partir	VERinf	partir
que	CONsub	que
je	PROper	je
cuit	VERcjg	cuidier
que	CONsub	que
vous	PROper	vous
en	PROadv	en
aiez	VERcjg	avoir
le	DETdef	le
plus	ADVgen	plus
.	PONfrt	.

Or	ADVgen	or
ne	ADVneg	ne
vous	PROper	vous
esmaiez	VERcjg	esmaiier
!	PONfrt	!

”	PONpdr	”
Li	DETdef	le
rois	NOMcom	roi
s'	PROper	soi
aïre	VERcjg	äirier
,	PONfbl	,
si	ADVgen	si
l'	PROper	il
esgarde	VERcjg	esgarder
.	PONfrt	.

“	PONpga	“
Vilains	NOMcom	vilain
,	PONfbl	,
fet	VERcjg	faire
il	PROper	il
,	PONfbl	,
li	DETdef	le
maus	ADJqua	mal
feus	NOMcom	feu
t'	PROper	tu
arde	VERcjg	ardre
et	CONcoo	et
Diex	NOMpro	Dieu
te	PROper	tu
doinst	VERcjg	donner
mal	ADJqua	mal
encombrier	NOMcom	encombrier
ainz	ADVgen	ainz
que	CONsub	que
j'	PROper	je
aie	VERcjg	avoir
nul	DETind	nul
destorbier	NOMcom	destorbier
!	PONfrt	!

Doner	VERinf	doner
me	PROper	je
veus	VERcjg	vouloir
trop	ADVgen	trop
vilain	ADJqua	vilain
mes	CONcoo	mais
quant	CONsub	cant
male	ADJqua	mal
honte	NOMcom	honte
me	PROper	je
promés	VERcjg	promettre
!	PONfrt	!

Mar	ADVgen	mar
le	PROper	il
penssas	VERcjg	penser
,	PONfbl	,
par	PRE	par
saint	ADJqua	saint
Climent	NOMpro	Clément
!	PONfrt	!

”	PONpdr	”
Vuidier	VERinf	vuidier
li	PROper	il
fet	VERcjg	faire
isnelement	ADVgen	isnellement
le	DETdef	le
grant	ADJqua	grant
palais	NOMcom	palais
et	CONcoo	et
la	DETdef	le
meson	NOMcom	maison
et	CONcoo	et
puis	VERcjg	pöoir
doner	VERinf	doner
sa	DETpos	son
livroison	NOMcom	livroison
a	PRE	a
.ii	PROcar	deus
.	PONfrt	.

serjanz	NOMcom	sergent
qui	PROrel	que
tant	ADVgen	tant
le	PROper	il
batent	VERcjg	battre
par	PRE	par
poi	ADVgen	peu
qu'	CONsub	que
a	PRE	a
terre	NOMcom	terre
ne	ADVneg	ne
l'	PROper	il
abatent	VERcjg	abatre
!	PONfrt	!

Cil	PROdem	cel
qui	PROrel	que
estoit	VERcjg	estre
pris	VERppe	prendre
a	PRE	a
la	DETdef	le
trape	NOMcom	trape
a	PRE	a
molt	ADVgen	moult
grant	ADJqua	grant
paine	NOMcom	peine
s'	PROper	soi
en	PROadv	en
eschape	VERcjg	eschaper
.	PONfrt	.

La	DETdef	le
male	ADJqua	mal
honte	NOMcom	honte
a	VERcjg	avoir
comparee	VERppe	comparer
ou	PROrel	où
il	PROper	il
avoit	VERcjg	avoir
mainte	DETind	maint
denree	NOMcom	denree
,	PONfbl	,
maint	DETind	maint
anel	NOMcom	anel
d'	PRE	de
or	NOMcom	or
et	CONcoo	et
mainte	PROind	maint
afiche	VERcjg	afichier
.	PONfrt	.

Et	CONcoo	et
li	DETdef	le
preudon	NOMcom	pro
tres	ADVgen	très
bien	ADVgen	bien
s'	PROper	soi
afiche	VERcjg	afichier
et	CONcoo	et
dist	VERcjg	dire
qu'	CONsub	que
arriere	ADVgen	ariere
n'	ADVneg	ne
en	PROadv	en
ira	VERcjg	aler
de	PRE	de
si	ADVgen	si
que	CONsub	que
li	DETdef	le
rois	NOMcom	roi
avera	VERcjg	avoir
la	DETdef	le
male	ADJqua	mal
honte	NOMcom	honte
fet	VERppe	faire
reçoivre	VERcjg	recevoir
quar	CONcoo	car
il	PROper	il
ne	ADVneg	ne
veut	VERcjg	vouloir
mie	ADVneg	mie
deçoivre	VERinf	decevoir
l'	DETdef	le
ame	NOMcom	ame
son	DETpos	son
compere	NOMcom	comparer
frontel	ADJqua	frontel
qui	PROrel	que
li	PROper	il
charja	VERcjg	chargier
a	PRE	a
son	DETpos	son
ostel	NOMcom	ostel
sor	PRE	sor
Dieu	NOMpro	Dieu
et	CONcoo	et
sor	PRE	sor
son	DETpos	son
comparage	NOMcom	comparage
.	PONfrt	.

Mes	CONcoo	mais
toz	DETind	tot
cels	PROdem	cil
prie	VERcjg	priier
mal	ADJqua	mal
domage	NOMcom	damage
qui	PROrel	que
tant	ADVgen	tant
li	PROper	il
ont	VERcjg	avoir
doné	VERppe	doner
de	PRE	de
cops	NOMcom	coup
que	CONsub	que
tout	PROind	tout
li	PROper	il
ont	VERcjg	avoir
froissié	VERppe	froissier
les	DETdef	le
os	NOMcom	os
.	PONfrt	.

La	DETdef	le
nuit	NOMcom	nuit
se	PROper	soi
herberge	VERcjg	herbergier
en	PRE	en
la	DETdef	le
vile	NOMcom	vile
cil	PROdem	cel
qui	PROrel	que
ne	ADVneg	ne
quiert	VERcjg	querre
barat	NOMcom	barat
ne	CONcoo	ne
guile	NOMcom	guile
,	PONfbl	,
puis	ADVgen	puis
s'	PROper	soi
en	PROadv	en
vint	VERcjg	venir
a	PRE	a
cort	NOMcom	cort
lendemain	ADVgen	lendemain
,	PONfbl	,
si	ADVgen	si
se	PROper	soi
commande	VERcjg	commander
a	PRE	a
saint	ADJqua	saint
Germain	NOMpro	Germain
.	PONfrt	.

Aus	PRE.DETdef	a
fenestres	NOMcom	fenestre
du	PRE.DETdef	de.le
palais	NOMcom	palais
voit	VERcjg	vëoir
le	DETdef	le
roi	NOMcom	roi
qui	PROrel	que
entor	PRE	entour
lui	PROper	il
avoit	VERcjg	avoir
de	PRE	de
chevaliers	NOMcom	chevalier
une	DETndf	un
grant	ADJqua	grant
masse	NOMcom	masse
.	PONfrt	.

Trestoute	DETind	trèstout
la	DETdef	le
cort	NOMcom	cort
s'	PROper	soi
i	PROadv	i
amasse	VERcjg	amer
.	PONfrt	.

Li	DETdef	le
vilains	NOMcom	vilain
hautement	ADVgen	hautement
parole	VERcjg	parler
:	PONfbl	:
“	PONpga	“
Rois	NOMcom	roi
de	PRE	de
Londres	NOMpro	Londene
et	CONcoo	et
de	PRE	de
Nichole	NOMpro	Nicolas
,	PONfbl	,
fai	VERcjg	faire
mẹ	PROper	me
escouter	VERinf	escouter
et	CONcoo	et
si	ADVgen	si
m'	PROper	je
entent	VERcjg	entendre
:	PONfbl	:
la	DETdef	le
male	ADJqua	mal
honte	NOMcom	honte
encor	ADVgen	encore
t'	PROper	tu
atent	VERcjg	attendre
!	PONfrt	!

Je	PROper	je
ne	ADVneg	ne
me	PROper	je
vueil	VERcjg	vouloir
de	PRE	de
ci	ADVgen	ci
movoir	VERinf	movoir
,	PONfbl	,
si	ADVgen	si
l'	PROper	il
avrez	VERcjg	avoir
fete	VERppe	faire
recevoir	VERinf	recevoir
.	PONfrt	.

La	DETdef	le
male	ADJqua	mal
honte	NOMcom	honte
vous	PROper	vous
remaingne	VERcjg	remanoir
,	PONfbl	,
si	ADVgen	si
la	PROper	il
partez	VERcjg	partir
a	PRE	a
vo	DETpos	votre
compaingne	NOMcom	compagne
et	CONcoo	et
aus	PRE.DETdef	à.le
chevaliers	NOMcom	chevalier
de	PRE	de
vo	DETpos	votre
table	NOMcom	table
!	PONfrt	!

“	PONpga	“
Oiez	VERcjg	ouïr
,	PONfbl	,
fet	VERcjg	faire
li	DETdef	le
rois	NOMcom	roi
,	PONfbl	,
del	PRE.DETdef	de
deable	NOMcom	diable
,	PONfbl	,
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
sera	VERcjg	estre
ja	ADVgen	ja
chastoiez	VERppe	chastoyer
!	PONfrt	!

Gardez	VERcjg	garder
qu'	CONsub	que
il	PROper	il
soit	VERcjg	estre
pris	VERppe	prendre
et	CONcoo	et
loiez	VERppe	lier
et	CONcoo	et
bien	ADVgen	bien
tenuz	VERppe	tenir
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
s'	PROper	soi
en	PROadv	en
aille	VERcjg	aler
!	PONfrt	!

”	PONpdr	”
Uns	DETndf	un
chevaliers	NOMcom	chevalier
de	PRE	de
Cornuaille	NOMpro	Cornouailles
le	DETdef	le
roi	NOMcom	roi
apela	VERcjg	apeler
maintenant	ADVgen	maintenant
:	PONfbl	:
“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
fet	VERcjg	faire
il	PROper	il
,	PONfbl	,
trop	ADVgen	trop
malemant	ADVgen	malement
fetes	VERcjg	faire
demener	VERinf	demener
cel	DETdem	cil
preudomme	NOMcom	prudhomme
,	PONfbl	,
si	ADVgen	si
n'	ADVneg	ne
avez	VERcjg	avoir
pas	ADVneg	pas
oï	VERppe	öir
la	DETdef	le
somme	NOMcom	somme
.	PONfrt	.

Ne	ADVneg	ne
cuide	VERcjg	cuidier
rien	PROind	rien
vers	PRE	vers
vous	PROper	vous
mesdire	VERinf	mesdire
.	PONfrt	.

Lessiez	VERcjg	laissier
li	PROper	il
desresnier	VERinf	deraisnier
son	DETpos	son
dire	VERinf	dire
.	PONfrt	.

Se	CONsub	se
sa	DETpos	son
reson	NOMcom	raison
ne	CONcoo	ne
sa	DETpos	son
parole	NOMcom	parole
est	VERcjg	estre
outrecuidïe	VERppe	outrecuidier
ne	CONcoo	ne
fole	ADJqua	fol
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
sache	VERcjg	savoir
reson	NOMcom	raison
moustrer	VERinf	montrer
,	PONfbl	,
lessiez	VERcjg	laissier
li	PROper	il
,	PONfbl	,
s'	CONsub	se
il	PROimp	il
vous	PROper	vous
plest	VERcjg	plaire
,	PONfbl	,
entrer	VERinf	entrer
,	PONfbl	,
quar	CONcoo	car
n'	ADVneg	ne
afiert	VERcjg	aferir
pas	ADVneg	pas
a	PRE	a
roi	NOMcom	roi
d'	PRE	de
empire	NOMcom	empire
,	PONfbl	,
s'	CONsub	se
uns	DETndf	un
fols	NOMcom	fou
se	PROper	soi
mesle	VERcjg	meslemesle
de	PRE	de
mesdire	VERinf	mesdire
,	PONfbl	,
que	CONsub	que
por	PRE	por
ce	PROdem	ce
soit	VERcjg	estre
contralïeus	ADJqua	contrarïos
,	PONfbl	,
ainz	ADVgen	ainz
doit	VERcjg	devoir
estre	VERinf	estre
forment	ADVgen	fortement
joieus	ADJqua	joios
.	PONfrt	.

Par	PRE	par
doner	VERinf	doner
et	CONcoo	et
par	PRE	par
apaier	VERinf	apayer
fetes	VERcjg	faire
le	DETdef	le
vilain	NOMcom	vilain
essaier	VERinf	essaiier
.	PONfrt	.

S'	CONsub	se
il	PROper	il
set	VERcjg	savoir
bien	ADVgen	bien
sa	DETpos	son
reson	NOMcom	raison
ouvrir	VERinf	ouvrir
et	CONcoo	et
sa	DETpos	son
parole	NOMcom	parole
descouvrir	VERinf	découvrir
qu'	CONsub	que
il	PROper	il
ait	VERcjg	avoir
la	DETdef	le
chose	NOMcom	chose
por	PRE	por
bien	ADVgen	bien
dite	VERppe	dire
,	PONfbl	,
si	ADVgen	si
l'	PROper	il
en	PROadv	en
rendez	VERcjg	rendre
haute	ADJqua	haut
merite	NOMcom	mérite
et	CONcoo	et
li	PROper	il
amendez	VERcjg	amender
le	DETdef	le
mesfet	VERppe	mesfaire
qu'	PROrel	que
en	PRE	en
vostre	DETpos	vostre
cort	NOMcom	cort
li	PROper	il
a	VERcjg	avoir
l'	OUT	il
en	PROind	on
fet	VERcjg	faire
quar	CONcoo	car
n'	ADVneg	ne
a	VERcjg	avoir
pas	ADVneg	pas
chiere	ADJqua	chier
de	PRE	de
larron	NOMcom	larron
.	PONfbl	.
”	PONpdr	”
Li	DETdef	le
rois	NOMcom	roi
l'	PROper	il
otroie	VERcjg	otroiier
et	CONcoo	et
si	DETpos	son
baron	NOMcom	baron
.	PONfrt	.

Et	CONcoo	et
cil	PROdem	cel
recommence	VERcjg	recommencer
son	DETpos	son
conte	NOMcom	conte
:	PONfbl	:
“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
fet	VERcjg	faire
il	PROper	il
,	PONfbl	,
la	DETdef	le
male	ADJqua	mal
honte	NOMcom	honte
vous	PROper	vous
aport	VERcjg	aporter
molt	ADVgen	moult
plaine	ADJqua	plein
d'	PRE	de
avoir	VERinf	avoir
,	PONfbl	,
si	ADVgen	si
m'	PROper	je
en	PROadv	en
devez	VERcjg	devoir
bon	ADJqua	bon
gré	NOMcom	gré
savoir	VERinf	savoir
.	PONfrt	.

A	PRE	a
molt	ADVgen	moult
grant	ADJqua	grant
tort	NOMcom	tort
la	PROper	il
refusastes	VERcjg	refuser
ersoir	ADVgen	ersoir
quant	CONsub	cant
si	ADVgen	si
vous	PROper	vous
corouçastes	VERcjg	courroucer
.	PONfrt	.

La	DETdef	le
male	ADJqua	mal
honte	NOMcom	honte
est	VERcjg	estre
granz	ADJqua	grant
et	CONcoo	et
lee	ADJqua	lé
que	PROrel	que
je	PROper	je
vous	PROper	vous
ai	VERcjg	avoir
ci	ADVgen	ci
aportee	VERppe	aporter
.	PONfrt	.

Toute	ADVgen	tout
soit	VERcjg	estre
vostre	ADJpos	vostre
,	PONfbl	,
biaus	ADJqua	bel
douz	ADJqua	doux
sire	NOMcom	seignor
!	PONfrt	!

Mon	DETpos	mon
compere	NOMcom	comparer
le	PROper	il
m'	PROper	je
a	VERcjg	avoir
fet	VERppe	faire
dire	VERinf	dire
.	PONfrt	.

Por	PRE	por
ce	PROdem	ce
,	PONfbl	,
biaus	ADJqua	bel
douz	ADJqua	doux
sire	NOMcom	seignor
,	PONfbl	,
que	PROrel	que
g'	PROper	je
ere	VERcjg	être
et	CONcoo	et
son	DETpos	son
ami	NOMcom	ami
et	CONcoo	et
son	DETpos	son
compere	NOMcom	comparer
,	PONfbl	,
partir	VERinf	partir
fist	VERcjg	faire
son	DETpos	son
avoir	VERinf	avoir
par	PRE	par
mi	NOMcom	mi
.	PONfrt	.

Vo	DETpos	votre
part	NOMcom	part
vous	PROper	vous
envoie	VERcjg	envoiier
par	PRE	par
mi	NOMcom	mi
en	PRE	en
une	DETndf	un
male	NOMcom	malle
qui	PROrel	que
fu	VERcjg	estre
siue	ADJpos	sien
.	PONfrt	.

N'	ADVneg	ne
ai	VERcjg	avoir
mes	ADVgen	mais
talent	NOMcom	talent
que	CONsub	que
vo	DETpos	votre
cort	NOMcom	cort
siue	VERcjg	sivre
que	CONsub	que
tant	ADVgen	tant
m'	PROper	je
i	PROadv	i
ont	VERcjg	avoir
doné	VERppe	doner
de	PRE	de
cops	NOMcom	coup
que	CONsub	que
tout	ADVgen	tout
m'	PROper	je
i	PROadv	i
ont	VERcjg	avoir
froissié	VERppe	froissier
les	DETdef	le
os	NOMcom	os
!	PONfrt	!

Mes	CONcoo	mais
toutes	DETind	tous
voies	NOMcom	voie
,	PONfbl	,
sire	NOMcom	seignor
rois	NOMcom	roi
,	PONfbl	,
puis	PRE	puis
que	CONsub	que
ce	PROdem	ce
est	VERcjg	estre
resons	NOMcom	raison
et	CONcoo	et
drois	NOMcom	droit
,	PONfbl	,
je	PROper	je
vous	PROper	vous
rent	VERcjg	rendre
ci	ADVgen	ci
la	DETdef	le
male	ADJqua	mal
honte	NOMcom	honte
et	CONcoo	et
si	ADVgen	si
tenez	VERcjg	tenir
de	PRE	de
l'	DETdef	le
avoir	VERinf	avoir
conte	NOMcom	conte
!	PONfrt	!

”	PONpdr	”
Lors	ADVgen	lors
l'	PROper	il
a	VERcjg	avoir
de	PRE	de
son	DETpos	son
col	NOMcom	col
despendue	VERppe	dépendre
.	PONfrt	.

Au	PRE.DETdef	a
roi	NOMcom	roi
l'	PROper	il
a	VERcjg	avoir
maintenant	ADVgen	maintenant
rendue	VERppe	rendre
.	PONfrt	.

Sa	DETpos	son
reson	NOMcom	raison
li	PROper	il
a	VERcjg	avoir
descouverte	VERppe	découvrir
et	CONcoo	et
li	DETdef	le
rois	NOMcom	roi
a	PRE	a
la	DETdef	le
male	ADJqua	mal
ouverte	VERppe	ouvrir
.	PONfrt	.

Assez	ADVgen	assez
i	PROadv	i
ot	VERcjg	avoir
or	NOMcom	or
et	CONcoo	et
argent	NOMcom	argent
.	PONfrt	.

Li	DETdef	le
rois	NOMcom	roi
voiant	VERppa	voir
toute	DETind	tout
sa	DETpos	son
gent	NOMcom	gent
la	DETdef	le
male	ADJqua	mal
honte	NOMcom	honte
au	PRE.DETdef	a
vilain	NOMcom	vilain
done	VERcjg	doner
et	CONcoo	et
son	DETpos	son
mautalent	NOMcom	maltalent
li	PROper	il
pardone	VERcjg	pardoner
.	PONfrt	.

Et	CONcoo	et
li	DETdef	le
vilains	NOMcom	vilain
dist	VERcjg	dire
coiement	ADVgen	coiement
:	PONfbl	:
“	PONpga	“
La	DETdef	le
male	ADJqua	mal
praing	VERcjg	prendre
je	PROper	je
voirement	ADVgen	voirement
a	PRE	a
tout	DETind	tout
l'	DETdef	le
avoir	VERinf	avoir
qui	PROrel	que
est	VERcjg	estre
dedenz	ADVgen	dedans
,	PONfbl	,
mes	CONcoo	mais
je	PROper	je
pri	VERcjg	priier
Dieu	NOMpro	Dieu
entre	PRE	entre
mes	DETpos	mon
denz	NOMcom	dent
que	CONsub	que
male	ADJqua	mal
honte	NOMcom	honte
vous	PROper	vous
otroit	VERcjg	otroiier
,	PONfbl	,
si	ADVgen	si
fera	VERcjg	faire
il	PROper	il
,	PONfbl	,
se	CONsub	se
il	PROper	il
m'	PROper	je
en	PROadv	en
croit	VERcjg	croire
,	PONfbl	,
autre	PROind	autre
que	CONsub	que
celi	PROdem	cel
que	PROrel	que
je	PROper	je
port	VERcjg	porter
,	PONfbl	,
quar	CONcoo	car
ledengié	VERppe	laignier
m'	PROper	je
avez	VERcjg	avoir
a	PRE	a
tort	NOMcom	tort
!	PONfrt	!

”	PONpdr	”
Lors	ADVgen	lors
a	VERcjg	avoir
li	DETdef	le
vilains	NOMcom	vilain
reportee	VERppe	reporter
la	DETdef	le
male	ADJqua	mal
honte	NOMcom	honte
en	PRE	en
sa	DETpos	son
contree	NOMcom	contree
.	PONfrt	.

A	PRE	a
mainte	DETind	maint
gent	NOMcom	gent
l'	PROper	il
a	VERcjg	avoir
departie	VERppe	departir
qui	PROrel	que
en	PROadv	en
orent	VERcjg	avoir
molt	ADVgen	moult
grant	ADJqua	grant
partie	NOMcom	partie
.	PONfrt	.

Sanz	PRE	sans
la	DETdef	le
male	ADJqua	mal
ot	VERcjg	avoir
il	PROper	il
trop	ADVgen	trop
de	PRE	de
honte	NOMcom	honte
et	CONcoo	et
chascun	DETind	chascun
jor	NOMcom	jor
li	PROper	il
croist	VERcjg	croistre
et	CONcoo	et
monte	VERcjg	monter
,	PONfbl	,
mes	CONcoo	mais
ainz	ADVgen	ainz
que	CONsub	que
li	DETdef	le
anz	NOMcom	an
fust	VERcjg	estre
passez	VERppe	passer
ot	VERcjg	avoir
li	DETdef	le
rois	NOMcom	roi
de	PRE	de
la	DETdef	le
honte	NOMcom	honte
assez	ADVgen	assez
!	PONfrt	!

