¶	ADJcar	¶
sai	VERcjg	savoir
par	PRE	par
quel	DETrel	quel
maniere	NOMcom	manière
,	PONfbl	,
que	CONsub	que
la	DETdef	le
dame	NOMcom	dame
,	PONfbl	,
qui	PROrel	que
molt	ADVgen	moult
fu	VERcjg	estre
chiere	ADJqua	chier
,	PONfbl	,
devint	VERcjg	devenir
malade	ADJqua	malade
et	CONcoo	et
acoucha	VERcjg	accouchier
.	PONfrt	.

De	PRE	de
.iii	PROcar	trois
.	PONfrt	.

semaines	NOMcom	semaine
ne	ADVneg	ne
leva	VERcjg	lever
;	PONfbl	;
grant	ADJqua	grant
paor	NOMcom	peur
ot	VERcjg	avoir
qu'	CONsub	que
el	PROper	il
ne	ADVneg	ne
morust	VERcjg	mourir
.	PONfrt	.

Tant	ADVgen	tant
que	CONsub	que
son	DETpos	son
terme	NOMcom	terme
venu	VERppe	venir
fust	VERcjg	estre
,	PONfbl	,
de	PRE	de
son	DETpos	son
provoire	NOMcom	provoire
fu	VERcjg	estre
confesse	ADJqua	confès
,	PONfbl	,
du	PRE.DETdef	de.le
sien	PROpos	sien
dona	VERcjg	doner
et	CONcoo	et
fist	VERcjg	faire
grant	ADJqua	grant
lesse	NOMcom	laisse
.	PONfrt	.

Ne	ADVneg	ne
se	PROper	soi
vout	VERcjg	voloir
pas	ADVneg	pas
atant	ADVgen	atant
tenir	VERinf	tenir
.	PONfrt	.

Son	DETpos	son
seignor	NOMcom	seignor
fist	VERcjg	faire
a	PRE	a
li	PROper	il
venir	VERinf	venir
et	CONcoo	et
se	ADVgen	si
li	PROper	il
dist	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Biaus	ADJqua	beau
sire	NOMcom	seignor
chiers	ADJqua	chier
,	PONfbl	,
du	PRE.DETdef	de.le
conseil	NOMcom	conseil
de	PRE	de
moi	PROper	je
fust	VERcjg	estre
mestiers	NOMcom	mestier
.	PONfrt	.

Uns	DETndf	un
moines	NOMcom	moine
maint	DETind	maint
molt	ADVgen	moult
pres	ADVgen	près
de	PRE	de
ci	ADVgen	ci
:	PONfbl	:
sainz	ADJqua	saint
hom	NOMcom	homme
est	VERcjg	estre
molt	ADVgen	moult
,	PONfbl	,
ç'	PROdem	ce
avons	VERcjg	avoir
oï	VERppe	öir
.	PONfrt	.

A	PRE	a
m'	DETpos	mon
ame	NOMcom	ame
fust	VERcjg	estre
grant	ADJqua	grant
preu	NOMcom	pro
,	PONfbl	,
ce	PROdem	ce
cuit	VERcjg	cuidier
,	PONfbl	,
se	CONsub	se
je	PROper	je
fusse	VERcjg	estre
confesse	ADJqua	confès
a	PRE	a
lui	PROper	il
.	PONfrt	.

Sire	NOMcom	seignor
,	PONfbl	,
por	PRE	por
Dieu	NOMpro	Dieu
,	PONfbl	,
sanz	PRE	sans
nule	DETind	nul
aloingne	NOMcom	aloigne
quar	ADVgen	car
me	PROper	je
fetes	VERcjg	faire
venir	VERinf	venir
le	DETdef	le
moine	NOMcom	moine
:	PONfbl	:
grant	ADJqua	grant
mestier	NOMcom	mestier
ai	VERcjg	avoir
d'	PRE	de
a	PRE	a
lui	PROper	il
parler	VERinf	parler
!	PONfrt	!

“	PONpga	“
Dame	NOMcom	dame
,	PONfbl	,
dist	VERcjg	dire
il	PROper	il
,	PONfbl	,
vez	VERcjg	vëoir
m'	PROper	je
i	PROadv	i
aler	VERinf	aler
.	PONfrt	.

Nul	DETind	nul
meillor	ADJqua	meillor
mes	NOMcom	mes
de	PRE	de
moi	PROper	je
n'	ADVneg	ne
i	PROadv	i
a	VERcjg	avoir
!	PONfrt	!

Je	PROper	je
cuit	VERcjg	cuidier
jel	PROper.PROper	je
vous	PROper	vous
amenrai	VERcjg	amener
ja	ADVgen	ja
.	PONfbl	.
”	PONpdr	”
A	PRE	a
ces	DETdem	ce
paroles	NOMcom	parole
s'	PROper	soi
en	PROadv	en
torna	VERcjg	torner
;	PONfbl	;
sor	PRE	sor
.i	PROind	un
.	PONfrt	.

cheval	NOMcom	cheval
qu'	PROrel	que
il	PROper	il
ot	VERcjg	avoir
monta	VERcjg	monter
,	PONfbl	,
a	PRE	a
la	DETdef	le
voie	NOMcom	voie
se	PROper	soi
mist	VERcjg	mettre
amblant	VERppa	ambler
et	CONcoo	et
de	PRE	de
sa	DETpos	son
fame	NOMcom	feme
molt	ADVgen	moult
penssant	VERppa	penser
.	PONfrt	.

“	PONpga	“
Diex	NOMpro	Dieu
,	PONfbl	,
penssa	VERcjg	penser
sil	PROdem	sil
,	PONfbl	,
tant	ADVgen	tant
a	VERcjg	avoir
esté	VERppe	être
ceste	DETdem	cest
fame	NOMcom	feme
de	PRE	de
grant	ADJqua	grant
bonté	NOMcom	bonté
!	PONfrt	!

Ce	PROdem	ce
saurai	VERcjg	savoir
je	PROper	je
,	PONfbl	,
se	CONsub	se
Diex	NOMpro	Dieu
m'	PROper	je
aït	VERcjg	aidier
,	PONfbl	,
s'	CONsub	se
ele	PROper	il
est	VERcjg	estre
tant	ADVgen	tant
bone	ADJqua	bon
com	CONsub	come
l'	OUT	il
en	PROind	on
dit	VERcjg	dire
.	PONfrt	.

Ja	ADVgen	ja
n'	ADVneg	ne
i	PROadv	i
avra	VERcjg	avoir
confessïon	NOMcom	confession
,	PONfbl	,
par	PRE	par
le	DETdef	le
cuer	NOMcom	cuer
Dieu	NOMpro	Dieu
,	PONfbl	,
se	CONsub	se
de	PRE	de
moi	PROper	je
non	ADVneg	non
!	PONfrt	!

En	PRE	en
leu	NOMcom	lieu
de	PRE	de
moine	NOMcom	moine
a	PRE	a
li	PROper	il
vendrai	VERcjg	venir
et	CONcoo	et
sa	DETpos	son
confessïon	NOMcom	confession
orrai	VERcjg	öir
.	PONfbl	.
”	PONpdr	”
En	PRE	en
ce	PROdem	ce
qu'	CONsub	que
en	PRE	en
cest	DETdem	cest
penssé	NOMcom	pensé
estoit	VERcjg	estre
et	CONcoo	et
devise	VERcjg	deviser
qu'	CONsub	que
estre	VERinf	estre
en	PROadv	en
porroit	VERcjg	pöoir
,	PONfbl	,
chiés	PRE	chiés
le	DETdef	le
prior	NOMcom	prior
en	PROadv	en
vint	VERcjg	venir
manois	NOMcom	manois
,	PONfbl	,
qui	PROrel	que
fu	VERcjg	estre
preudom	ADJqua	pro
et	CONcoo	et
molt	ADVgen	moult
cortois	ADJqua	cortois
,	PONfbl	,
et	CONcoo	et
quant	CONsub	cant
le	DETdef	le
prïeor	NOMcom	priëor
vit	VERcjg	vëoir
li	PROper	il
,	PONfbl	,
encontre	PRE	encontre
lui	PROper	il
molt	ADVgen	moult
biau	ADJqua	bel
sailli	VERcjg	salir
,	PONfbl	,
bel	ADVgen	bel
l'	PROper	il
apela	VERcjg	apeler
,	PONfbl	,
sel	ADVgen.PROper	si
fist	VERcjg	faire
descendre	VERinf	descendre
,	PONfbl	,
puis	ADVgen	puis
si	ADVgen	si
a	VERcjg	avoir
fet	VERppe	faire
son	DETpos	son
cheval	NOMcom	cheval
prendre	VERinf	prendre
.	PONfrt	.

Puis	ADVgen	puis
li	PROper	il
a	VERcjg	avoir
dit	VERppe	dire
:	PONfbl	:
“	PONpga	“
Par	PRE	par
l'	DETdef	le
ordre	NOMcom	ordre
Dé	NOMpro	dieu
,	PONfbl	,
or	ADVgen	or
m'	PROper	je
avez	VERcjg	avoir
vous	PROper	vous
servi	VERppe	servir
a	PRE	a
gré	NOMcom	gré
quant	CONsub	cant
vous	PROper	vous
m'	PROper	je
estes	VERcjg	estre
venuz	VERppe	venir
veoir	VERinf	vëoir
com	CONsub	come
vostre	DETpos	vostre
ami	NOMcom	ami
,	PONfbl	,
et	CONcoo	et
remanoir	VERinf	remanoir
!	PONfrt	!

De	PRE	de
herbregier	VERinf	herbregier
grant	ADJqua	grant
joie	NOMcom	joie
en	PROadv	en
ai	VERcjg	avoir
!	PONfrt	!

Por	PRE	por
vous	PROper	vous
la	DETdef	le
cort	NOMcom	cort
amenderai	VERcjg	amender
.	PONfbl	.
”	PONpdr	”
Li	DETdef	le
chevaliers	NOMcom	chevalier
li	PROper	il
dist	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Biaus	ADJqua	beau
sire	NOMcom	seignor
,	PONfbl	,
grant	ADJqua	grant
gré	NOMcom	gré
vous	PROper	vous
sai	VERcjg	savoir
certes	ADVgen	certes
du	PRE.DETdef	de.le
dire	VERinf	dire
,	PONfbl	,
mes	CONcoo	mais
ne	ADVneg	ne
puis	VERcjg	pöoir
mie	ADVneg	mie
herbregier	VERinf	herbregier
:	PONfbl	:
venez	VERcjg	venir
o	PRE	o
moi	PROper	je
ça	ADVgen	ça
conseillier	VERinf	conseillier
!	PONfrt	!

”	PONpdr	”
Quant	CONsub	quand
il	PROper	il
l'	PROper	il
ot	VERcjg	avoir
tret	VERppe	traire
a	PRE	a
une	DETndf	un
part	NOMcom	part
,	PONfbl	,
“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
fet	VERcjg	faire
il	PROper	il
,	PONfbl	,
se	CONsub	se
Diex	NOMpro	Dieu
me	PROper	je
gart	VERcjg	garder
,	PONfbl	,
grant	ADJqua	grant
mestier	NOMcom	mestier
ai	VERcjg	avoir
de	PRE	de
vostre	DETpos	vostre
aïe	NOMcom	äie
!	PONfrt	!

Gardez	VERcjg	garder
que	CONsub	que
ne	ADVneg	ne
me	PROper	je
failliez	VERcjg	falir
mie	ADVneg	mie
,	PONfbl	,
se	CONsub	se
voz	DETpos	vostre
dras	NOMcom	drap
noirs	ADJqua	noir
me	PROper	je
presterez	VERcjg	prêter
.	PONfrt	.

Ainz	ADVgen	ains
mïenuit	NOMcom	mïenuit
toz	ADVgen	tot
les	PROper	il
ravrez	VERcjg	ravoir
,	PONfbl	,
et	CONcoo	et
voz	DETpos	vostre
granz	ADJqua	grant
botes	NOMcom	bote
chaucerai	VERcjg	chaucier
,	PONfbl	,
et	CONcoo	et
je	PROper	je
ma	DETpos	mon
robe	NOMcom	robe
vous	PROper	vous
lerai	VERcjg	laiier
.	PONfrt	.

Ceenz	ADVgen	ciens
avez	VERcjg	avoir
mon	DETpos	mon
palefroi	NOMcom	palefroi
,	PONfbl	,
et	CONcoo	et
le	DETdef	le
vostre	PROpos	vostre
menrai	VERcjg	mener
o	PRE	o
moi	PROper	je
.	PONfbl	.
”	PONpdr	”
Le	DETdef	le
moine	NOMcom	moine
tout	ADVgen	tout
li	PROper	il
otria	VERcjg	octroyer
quanquë	PROrel	cant
il	PROper	il
quist	VERcjg	quérir
et	CONcoo	et
demanda	VERcjg	demander
,	PONfbl	,
et	CONcoo	et
quant	CONsub	cant
fu	VERcjg	estre
nuis	NOMcom	nuit
les	DETdef	le
dras	NOMcom	drap
vestit	VERppe	vêtir
.	PONfrt	.

Il	PROper	il
chanja	VERcjg	changier
trestout	DETind	trèstout
son	DETpos	son
abit	NOMcom	habit
,	PONfbl	,
desus	PRE	dessus
le	DETdef	le
palefroi	NOMcom	palefroi
monta	VERcjg	monter
au	PRE.DETdef	a
moine	NOMcom	moine
,	PONfbl	,
qui	PROrel	que
souef	ADJqua	souef
ambla	VERcjg	embler
.	PONfrt	.

Lors	ADVgen	lors
s'	PROper	soi
en	PROadv	en
parti	VERcjg	partir
demaintenant	ADVgen	demaintenant
;	PONfbl	;
en	PRE	en
sa	DETpos	son
meson	NOMcom	maison
en	PROadv	en
vint	VERcjg	venir
amblant	VERppa	ambler
.	PONfrt	.

Dedenz	ADVgen	dedans
entra	VERcjg	entrer
,	PONfbl	,
bien	ADVgen	bien
fu	VERcjg	estre
embronc	ADJqua	embronc
.	PONfrt	.

Bien	ADVgen	bien
s'	PROper	soi
embroncha	VERcjg	embroncher
ou	PRE.DETdef	en.le
chaperon	NOMcom	chaperon
quar	CONcoo	car
ne	ADVneg	ne
voloit	VERcjg	voloir
,	PONfbl	,
ce	PROdem	ce
cuit	VERcjg	cuidier
je	PROper	je
bien	ADVgen	bien
,	PONfbl	,
que	CONsub	que
l'	OUT	il
en	PROind	on
le	PROper	il
conneüst	VERcjg	connaître
de	PRE	de
rien	PROind	rien
.	PONfrt	.

La	DETdef	le
meson	NOMcom	maison
ert	VERcjg	être
auques	ADVgen	auques
obscure	ADJqua	obscur
.	PONfrt	.

Uns	DETndf	un
gars	NOMcom	gard
sailli	VERcjg	salir
grant	ADJqua	grant
aleüre	NOMcom	alëure
encontre	PRE	encontre
lui	PROper	il
por	PRE	por
lui	PROper	il
descendre	VERinf	descendre
.	PONfrt	.

A	PRE	a
une	DETndf	un
fame	NOMcom	feme
se	PROper	soi
fist	VERcjg	faire
prendre	VERinf	prendre
par	PRE	par
la	DETdef	le
gonne	NOMcom	gonne
,	PONfbl	,
sel	ADVgen.PROper	si
mena	VERcjg	mener
droit	ADVgen	droit
la	ADVgen	là
ou	PROrel	où
la	DETdef	le
dame	NOMcom	dame
se	PROper	soi
gisoit	VERcjg	jesir
.	PONfrt	.

“	PONpga	“
Dame	NOMcom	dame
,	PONfbl	,
dist	VERcjg	dire
el	PROper	il
,	PONfbl	,
le	DETdef	le
moine	NOMcom	moine
est	VERcjg	estre
ci	ADVgen	ci
que	CONsub	que
vous	PROper	vous
mandastes	VERcjg	mander
des	PRE.DETdef	de.le
ier	ADVgen	ier
ci	ADVgen	ci
.	PONfbl	.
”	PONpdr	”
Et	CONcoo	et
la	DETdef	le
dame	NOMcom	dame
si	ADVgen	si
l'	PROper	il
apela	VERcjg	apeler
:	PONfbl	:
“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
dist	VERcjg	dire
el	PROper	il
,	PONfbl	,
seez	VERcjg	sëoir
vous	PROper	vous
ça	ADVgen	ça
delez	PRE	dalez
cest	DETdem	cest
lit	NOMcom	lit
,	PONfbl	,
quar	CONcoo	car
molt	ADVgen	moult
m'	PROper	je
empire	VERcjg	empirer
mon	DETpos	mon
mal	NOMcom	mal
,	PONfbl	,
si	ADVgen	si
crieng	VERcjg	criembre
que	CONsub	que
je	PROper	je
me	PROper	je
muire	VERcjg	morir
,	PONfbl	,
que	CONsub	que
nuit	NOMcom	nuit
ne	CONcoo	ne
jor	NOMcom	jor
point	ADVneg	point
ne	ADVneg	ne
me	PROper	je
cesse	VERcjg	cesser
,	PONfbl	,
si	ADVgen	si
vueil	VERcjg	vouloir
de	PRE	de
vous	PROper	vous
estre	VERinf	estre
confesse	ADJqua	confès
.	PONfrt	.

“	PONpga	“
Dame	NOMcom	dame
,	PONfbl	,
dist	VERcjg	dire
il	PROper	il
,	PONfbl	,
ce	PROdem	ce
sera	VERcjg	estre
sens	NOMcom	sens
,	PONfbl	,
tant	ADVgen	tant
comme	CONsub	comme
avez	VERcjg	avoir
et	CONcoo	et
lieu	NOMcom	lieu
et	CONcoo	et
tens	NOMcom	temps
,	PONfbl	,
quar	CONcoo	car
nus	PROind	nul
ne	CONcoo	ne
nule	PROind	nul
ne	ADVneg	ne
set	VERcjg	savoir
mie	ADVneg	mie
esmer	VERinf	esmer
de	PRE	de
soi	PROper	soi
ne	CONcoo	ne
de	PRE	de
sa	DETpos	son
vie	NOMcom	vie
.	PONfrt	.

Por	PRE	por
ce	PROdem	ce
vous	PROper	vous
di	VERcjg	dire
,	PONfbl	,
ma	DETpos	mon
douce	ADJqua	doux
dame	NOMcom	dame
,	PONfbl	,
qu'	PROrel	que
aiez	VERcjg	avoir
merci	NOMcom	merci
de	PRE	de
la	DETdef	le
vostre	ADJpos	vostre
ame	NOMcom	ame
.	PONfrt	.

Pechié	NOMcom	péché
celé	VERppe	celer
,	PONfbl	,
ce	PROdem	ce
truis	VERcjg	trover
escrit	VERppe	écrire
,	PONfbl	,
l'	DETdef	le
ame	NOMcom	ame
et	CONcoo	et
le	DETdef	le
cors	NOMcom	corps
ensamble	ADVgen	ensemble
ocist	VERcjg	ocire
.	PONfrt	.

Por	PRE	por
ce	PROdem	ce
vous	PROper	vous
di	VERcjg	dire
et	CONcoo	et
vous	PROper	vous
chasti	VERcjg	chastiier
que	CONsub	que
vous	PROper	vous
aiez	VERcjg	avoir
de	PRE	de
vous	PROper	vous
merci	NOMcom	merci
.	PONfbl	.
”	PONpdr	”
Et	CONcoo	et
la	DETdef	le
dame	NOMcom	dame
qui	PROrel	que
ou	PRE.DETdef	en.le
lit	NOMcom	lit
fu	VERcjg	estre
trestout	ADVgen	trèstout
en	PRE	en
autre	DETind	autre
siecle	NOMcom	siècle
fu	VERcjg	estre
:	PONfbl	:
de	PRE	de
son	DETpos	son
seignor	NOMcom	seignor
ne	ADVneg	ne
connut	VERcjg	connaître
mie	ADVneg	mie
por	PRE	por
le	DETdef	le
grant	ADJqua	grant
mal	NOMcom	mal
qui	PROrel	que
l'	PROper	il
ot	VERcjg	avoir
saisie	VERppe	saisir
,	PONfbl	,
quar	CONcoo	car
sa	DETpos	son
parole	NOMcom	parole
entrechanjoit	VERcjg	entrechangier
.	PONfrt	.

En	PRE	en
la	DETdef	le
chambre	NOMcom	chambre
lumiere	NOMcom	lumière
n'	ADVneg	ne
ot	VERcjg	avoir
fors	ADVgen	fors
d'	PRE	de
un	DETndf	un
mortier	NOMcom	mortier
qu'	PROrel	que
iluec	ADVgen	illuec
ardoit	VERcjg	ardre
.	PONfrt	.

Point	ADVneg	point
de	PRE	de
clarté	NOMcom	clarté
ne	ADVneg	ne
lor	PROper	il
rendoit	VERcjg	rendre
,	PONfbl	,
ne	CONcoo	ne
gent	NOMcom	gent
n'	ADVneg	ne
avoit	VERcjg	avoir
en	PRE	en
cel	DETdem	cil
ostal	NOMcom	ostal
qui	PROrel	que
seüssent	VERcjg	savoir
gueres	ADVgen	gaire
de	PRE	de
mal	NOMcom	mal
.	PONfrt	.

“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
molt	ADVgen	moult
ai	VERcjg	avoir
esté	VERppe	être
proisïe	VERppe	proisier
,	PONfbl	,
mes	CONcoo	mais
je	PROper	je
sui	VERcjg	estre
fausse	ADJqua	faus
et	CONcoo	et
renoïe	VERppe	renöir
.	PONfrt	.

Sachiez	VERcjg	savoir
de	PRE	de
voir	ADJqua	voir
,	PONfbl	,
tele	PROind	tel
est	VERcjg	estre
blasmee	VERppe	blasmer
qui	PROrel	que
vaut	VERcjg	valoir
molt	ADVgen	moult
miex	ADVgen	mieux
que	CONsub	que
la	DETdef	le
loee	VERppe	löer
!	PONfrt	!

C'	PROdem	ce
estoie	VERcjg	estre
je	PROper	je
,	PONfbl	,
qui	PROrel	que
los	PROper	le
avoie	VERcjg	avoir
,	PONfbl	,
mes	CONcoo	mais
molt	ADVgen	moult
mavese	ADJqua	mave
fame	NOMcom	feme
estoie	VERcjg	estre
,	PONfbl	,
quar	CONcoo	car
a	PRE	a
mes	DETpos	mon
garçons	NOMcom	garçon
me	PROper	je
livroie	VERcjg	livrer
et	CONcoo	et
avoeques	PRE	avuec
moi	PROper	je
les	PROper	il
couchoie	VERcjg	couchier
,	PONfbl	,
et	CONcoo	et
d'	PRE	de
aus	PROper	il
fesoie	VERcjg	faire
mon	DETpos	mon
talent	NOMcom	talent
.	PONfrt	.

Moie	ADJpos	mon
coupe	NOMcom	coupe
,	PONfbl	,
je	PROper	je
m'	PROper	je
en	PROadv	en
repent	VERcjg	repentir
!	PONfrt	!

”	PONpdr	”
Et	CONcoo	et
quant	CONsub	cant
li	DETdef	le
chevaliers	NOMcom	chevalier
l'	PROper	il
oï	VERcjg	öir
,	PONfbl	,
de	PRE	de
mautalent	NOMcom	maltalent
le	DETdef	le
nez	NOMcom	nef
fronci	VERcjg	froncir
.	PONfrt	.

Molt	ADVgen	moult
par	ADVgen	par
vousist	VERcjg	vouloir
et	CONcoo	et
desirrast	VERcjg	desirrer
que	CONsub	que
mort	VERppe	mourir
soubite	ADJqua	subit
l'	PROper	il
acorast	VERcjg	acorer
!	PONfrt	!

“	PONpga	“
Dame	NOMcom	dame
,	PONfbl	,
dist	VERcjg	dire
il	PROper	il
,	PONfbl	,
pechié	VERppe	pechié
avez	VERcjg	avoir
.	PONfrt	.

Dites	VERcjg	dire
avant	ADVgen	avant
,	PONfbl	,
se	CONsub	se
vous	PROper	vous
savez	VERcjg	savoir
!	PONfrt	!

Mes	CONcoo	mais
bien	ADVgen	bien
vous	PROper	vous
deüssiez	VERcjg	devoir
tenir	VERinf	tenir
,	PONfbl	,
dame	NOMcom	dame
,	PONfbl	,
s'	CONsub	se
il	PROimp	il
vous	PROper	vous
fust	VERcjg	estre
a	PRE	a
plesir	NOMcom	plaisir
,	PONfbl	,
a	PRE	a
vostre	DETpos	vostre
espous	NOMcom	époux
,	PONfbl	,
qui	PROrel	que
molt	ADVgen	moult
vaut	VERcjg	valoir
miex	ADVgen	mieux
,	PONfbl	,
ce	PROdem	ce
m'	PROper	je
est	VERcjg	estre
avis	NOMcom	avis
,	PONfbl	,
par	PRE	par
mes	DETpos	mon
.ii	PROcar	deus
.	PONfrt	.

iex	NOMcom	œil
,	PONfbl	,
que	CONsub	que
li	DETdef	le
garçons	NOMcom	garçon
!	PONfrt	!

Molt	ADVgen	moult
me	PROper	je
merveil	VERcjg	merveiller
!	PONfrt	!

“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
se	CONsub	se
Diex	NOMpro	Dieu
m'	PROper	je
envoit	VERcjg	envoyer
conseil	NOMcom	conseil
a	PRE	a
cest	DETdem	cest
ame	NOMcom	ame
,	PONfbl	,
je	PROper	je
vous	PROper	vous
dirai	VERcjg	dire
la	DETdef	le
verité	NOMcom	verité
,	PONfbl	,
si	ADVgen	si
com	CONsub	come
je	PROper	je
sai	VERcjg	savoir
.	PONfrt	.

A	PRE	a
paine	NOMcom	peine
porroit	VERcjg	pöoir
l'	OUT	il
en	PROind	on
choisir	VERinf	choisir
fame	NOMcom	feme
qui	PROrel	que
se	PROper	soi
puisse	VERcjg	pöoir
tenir	VERinf	tenir
a	PRE	a
son	DETpos	son
seignor	NOMcom	seignor
tant	ADVgen	tant
seulement	ADVgen	seulement
,	PONfbl	,
ja	ADVgen	ja
tant	ADVgen	tant
ne	ADVneg	ne
l'	PROper	il
avra	VERcjg	avoir
bel	ADJqua	bel
ne	CONcoo	ne
gent	ADJqua	gent
,	PONfbl	,
quar	CONcoo	car
la	DETdef	le
nature	NOMcom	nature
tele	ADJind	tel
en	PROadv	en
ont	VERcjg	avoir
qu'	PROrel	que
els	PROper	eux
requierent	VERcjg	requerre
,	PONfbl	,
ce	PROdem	ce
sachiez	VERcjg	savoir
vous	PROper	vous
.	PONfrt	.

Et	CONcoo	et
li	DETdef	le
mari	NOMcom	mari
si	ADVgen	si
sont	VERcjg	estre
vilain	ADJqua	vilain
et	CONcoo	et
de	PRE	de
grant	ADJqua	grant
felonie	NOMcom	félonie
plain	ADJqua	plein
,	PONfbl	,
si	ADVgen	si
ne	ADVneg	ne
nous	PROper	nous
oson	VERcjg	oser
descouvrir	VERinf	découvrir
vers	PRE	vers
aus	PROper	il
ne	CONcoo	ne
noz	DETpos	notre
besoins	NOMcom	besoing
gehir	VERinf	jehir
,	PONfbl	,
quar	CONcoo	car
por	PRE	por
putains	NOMcom	putain
il	PROper	il
nous	PROper	nous
tendroient	VERcjg	tenir
se	CONsub	se
noz	DETpos	notre
besoins	NOMcom	besoing
par	PRE	par
nous	PROper	nous
savoient	VERcjg	savoir
,	PONfbl	,
si	ADVgen	si
ne	ADVneg	ne
puet	VERcjg	pöoir
estre	VERinf	estre
en	PRE	en
nule	DETind	nul
guise	NOMcom	guise
que	CONsub	que
n'	ADVneg	ne
aions	VERcjg	avoir
d'	PRE	de
autrui	PROind	autre
le	DETdef	le
servise	NOMcom	servise
.	PONfrt	.

“	PONpga	“
Dame	NOMcom	dame
,	PONfbl	,
dist	VERcjg	dire
il	PROper	il
,	PONfbl	,
bien	ADVgen	bien
vous	PROper	vous
en	PROadv	en
croi	VERcjg	croire
.	PONfrt	.

Dites	VERcjg	dire
avant	ADVgen	avant
,	PONfbl	,
se	CONsub	se
savez	VERcjg	savoir
qoi	ADJqua	coi
!	PONfrt	!

“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
dist	VERcjg	dire
ele	PROper	il
,	PONfbl	,
oïl	ADVgen	öil
assez	ADVgen	assez
,	PONfbl	,
dont	PROrel	dont
li	DETdef	le
miens	ADJpos	mon
cors	NOMcom	corps
est	VERcjg	estre
molt	ADVgen	moult
grevez	VERppe	grever
et	CONcoo	et
la	DETdef	le
moie	ADJpos	mon
ame	NOMcom	ame
en	PRE	en
grant	ADJqua	grant
freor	NOMcom	frëor
,	PONfbl	,
que	CONsub	que
le	DETdef	le
neveu	NOMcom	nevo
de	PRE	de
mon	DETpos	mon
seignor	NOMcom	seignor
,	PONfbl	,
tant	ADVgen	tant
l'	PROper	il
amoië	VERcjg	amer
en	PRE	en
mon	DETpos	mon
corage	NOMcom	corage
,	PONfbl	,
ce	PROdem	ce
m'	PROper	je
estoit	VERcjg	estre
vis	NOMcom	vis
que	CONsub	que
c'	PROdem	ce
estoit	VERcjg	estre
rage	NOMcom	rage
!	PONfrt	!

Et	CONcoo	et
sachiez	VERcjg	savoir
bien	ADVgen	bien
que	CONsub	que
je	PROper	je
morusse	VERcjg	mourir
,	PONfbl	,
se	CONsub	se
mon	DETpos	mon
plesir	NOMcom	plaisir
de	PRE	de
lui	PROper	il
n'	ADVneg	ne
eüsse	VERcjg	avoir
.	PONfrt	.

