¶	ADJcar	¶
:	PONfbl	:
.xix	PROcar	vingt-six
.	PONfrt	.

saus	ADJqua	sauf
et	CONcoo	et
.xxxix	PROcar	trente-neuf
.	PONfrt	.

Itant	ADVgen	itant
furent	VERcjg	estre
vendu	VERppe	vendre
mi	DETpos	mon
buef	NOMcom	boeuf
.	PONfrt	.

Diex	NOMpro	Dieu
!	PONfrt	!

C'	CONcoo	que
or	ADVgen	or
ne	ADVneg	ne
sai	VERcjg	savoir
que	CONsub	que
tout	DETind	tout
ce	PROdem	ce
monte	VERcjg	monter
!	PONfrt	!

S'	ADVgen	si
i	PROadv	i
meïsse	VERcjg	metre
tout	ADVgen	tout
en	PRE	en
.i	PROcar	un
.	PONfrt	.

conte	NOMcom	conte
,	PONfbl	,
je	PROper	je
ne	ADVneg	ne
le	PROper	il
savroie	VERcjg	savoir
sommer	VERinf	sommer
.	PONfrt	.

Qui	PROrel	que
me	PROper	je
devroit	VERcjg	devoir
tout	PROind	tout
assommer	VERinf	assommer
,	PONfbl	,
ne	ADVneg	ne
le	PROper	il
savroie	VERcjg	savoir
je	PROper	je
des	PRE.DETdef	de.le
mois	NOMcom	mois
se	CONsub	se
n'	ADVneg	ne
avoie	VERcjg	avoir
feves	NOMcom	fève
ou	CONcoo	o
pois	ADVgen	puis
que	CONsub	que
chascuns	PROind	chascun
pois	ADVgen	puis
feïst	VERcjg	faire
.i	PROcar	un
.	PONfrt	.

sout	VERcjg	savoir
.	PONfrt	.

Ainsi	ADVgen	ainsi
le	PROper	il
savroie	VERcjg	savoir
je	PROper	je
tout	PROind	tout
!	PONfrt	!

Et	CONcoo	et
neporquant	ADVgen	neporcant
me	PROper	je
dist	VERcjg	dire
Sirous	NOMpro	Sirous
que	CONsub	que
j'	PROper	je
oi	VERcjg	avoir
des	PRE.DETdef	de.le
bues	NOMcom	bue
.l	PROcar	cinquante
.	PONfrt	.

sous	ADJqua	seul
,	PONfbl	,
qui	PROrel	que
les	PROper	il
conta	VERcjg	conter
,	PONfbl	,
si	ADVgen	si
les	PROper	il
reçut	VERcjg	recevoir
.	PONfrt	.

Mes	CONcoo	mais
je	PROper	je
ne	ADVneg	ne
sai	VERcjg	savoir
s'	CONsub	se
il	PROper	il
m'	PROper	je
en	PROadv	en
deçut	VERcjg	decevoir
ne	CONcoo	ne
s'	CONsub	se
il	PROper	il
m'	PROper	je
en	PROadv	en
a	VERcjg	avoir
neant	PROind	nïent
emblé	VERppe	embler
qu'	CONsub	que
entre	PRE	entre
.ii	PROcar	deus
.	PONfrt	.

sestiere	NOMcom	sestiere
de	PRE	de
blé	NOMcom	blé
et	CONcoo	et
ma	DETpos	mon
jument	NOMcom	jomment
et	CONcoo	et
mes	DETpos	mon
porciaus	NOMcom	porceau
et	CONcoo	et
la	DETdef	le
laine	NOMcom	laine
de	PRE	de
mes	DETpos	mon
aigniaus	NOMcom	agnel
me	PROper	je
rendirent	VERcjg	rendre
tout	ADVgen	tout
autrestant	ADVgen	autrestant
.	PONfrt	.

.II	PROcar	deux
.	PONfrt	.

foiz	NOMcom	foiz
.l	PROcar	cinquante
.	PONfbl	.
,	PONfbl	,
ce	PROdem	ce
sont	VERcjg	estre
.c	ADJcar	cent
.	PONfbl	.
,	PONfbl	,
ce	PROdem	ce
dist	VERcjg	dire
uns	DETndf	un
gars	NOMcom	gard
qui	PROrel	que
fist	VERcjg	faire
mon	DETpos	mon
conte	NOMcom	conte
.	PONfrt	.

.V	PROcar	cinq
.	PONfrt	.

livres	NOMcom	livre
dist	VERcjg	dire
que	CONsub	que
tout	DETind	tout
ce	PROdem	ce
monte	VERcjg	monter
.	PONfrt	.

Or	ADVgen	or
ne	ADVneg	ne
lerai	VERcjg	laiier
por	PRE	por
nule	DETind	nul
paine	NOMcom	peine
que	CONsub	que
ma	DETpos	mon
borse	NOMcom	borse
qu'	PROrel	que
est	VERcjg	estre
toute	ADVgen	tout
plaine	ADJqua	plein
ne	ADVneg	ne
soit	VERcjg	estre
vuidie	VERppe	vuidier
en	PRE	en
mon	DETpos	mon
giron	NOMcom	giron
.	PONfbl	.
”	PONpdr	”
Et	CONcoo	et
li	DETdef	le
houlier	NOMcom	holier
de	PRE	de
la	DETdef	le
meson	NOMcom	maison
dient	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Ça	ADVgen	ça
vien	VERcjg	venir
,	PONfbl	,
Mabile	NOMpro	Mabile
,	PONfbl	,
escoute	VERcjg	escouter
!	PONfrt	!

Cil	DETdem	cel
denier	NOMcom	denier
sont	VERcjg	estre
nostre	ADJpos	notre
sanz	PRE	sans
doute	NOMcom	doute
se	CONsub	se
tu	PROper	tu
mes	ADVgen	mais
ceenz	ADVgen	cenz
ce	PROdem	ce
vilain	VERcjg	vilain
!	PONfrt	!

Il	PROper	il
ne	ADVneg	ne
sont	VERcjg	estre
mie	ADVneg	mie
a	PRE	a
son	DETpos	son
oes	NOMcom	ues
sain	ADJqua	sain
!	PONfrt	!

”	PONpdr	”
Dist	VERcjg	dire
Mabile	NOMpro	Mabile
:	PONfbl	:
“	PONpga	“
Lessiez	VERcjg	laissier
lẹ	PROper	il
en	PRE	en
pes	NOMcom	pais
!	PONfrt	!

Lessiez	VERcjg	laissier
le	PROper	il
conter	VERinf	conter
tout	ADVgen	tout
adés	ADVgen	adès
!	PONfrt	!

Lessiez	VERcjg	laissier
le	PROper	il
conter	VERinf	conter
tout	ADVgen	tout
en	PRE	en
pes	NOMcom	pais
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
me	PROper	je
puet	VERcjg	pöoir
eschaper	VERinf	eschaper
mes	ADVgen	mais
.	PONfrt	.

Toz	DETind	tot
les	DETdef	le
deniers	NOMcom	denier
je	PROper	je
les	PROper	il
vous	PROper	vous
doi	VERcjg	devoir
.	PONfrt	.

Les	DETdef	le
iex	NOMcom	œil
me	PROper	je
crevez	VERcjg	crover
,	PONfbl	,
je	PROper	je
l'	PROper	il
otroi	VERcjg	otroiier
,	PONfbl	,
se	CONsub	se
il	PROper	il
en	PROadv	en
est	VERcjg	estre
a	PRE	a
dire	VERinf	dire
uns	DETndf	un
seus	ADJqua	sol
!	PONfrt	!

”	PONpdr	”
Mes	CONcoo	mais
autrement	ADVgen	autrement
ira	VERcjg	aler
li	DETdef	le
geus	NOMcom	jeu
qu'	CONsub	que
ele	PROper	il
ne	ADVneg	ne
cuide	VERcjg	cuidier
,	PONfbl	,
ce	PROdem	ce
me	PROper	je
samble	VERcjg	sembler
,	PONfbl	,
quar	CONcoo	car
li	DETdef	le
vilains	NOMcom	vilain
conte	VERcjg	conter
et	CONcoo	et
assamble	VERcjg	assembler
.xii	PROcar	doze
.	PONfrt	.

deniers	NOMcom	denier
sanz	PRE	sans
plus	ADVgen	plus
qu'	CONsub	que
il	PROper	il
a.	VERcjg	avoir
Tant	ADVgen	tant
va	VERcjg	aler
contant	VERppa	conter
et	CONcoo	et
ça	ADVgen	ça
et	CONcoo	et
la	ADVgen	là
qu'	PROrel	que
il	PROper	il
dist	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Or	ADVgen	or
est	VERcjg	estre
.xx	PROcar	vint
.	PONfrt	.

saus	ADJqua	sauf
.v	PROcar	cinq
.	PONfrt	.

foiz	NOMcom	foiz
.	PONfrt	.

Des	PRE	des
ore	ADVgen	or
mes	ADVgen	mais
est	VERcjg	estre
il	PROimp	il
bien	ADVgen	bien
droiz	ADJqua	droit
que	CONsub	que
je	PROper	je
les	PROper	il
gart	VERcjg	garder
,	PONfbl	,
ce	PROdem	ce
sera	VERcjg	estre
sens	NOMcom	sens
,	PONfbl	,
mes	CONcoo	mais
d'	PRE	de
une	DETndf	un
chose	NOMcom	chose
me	PROper	je
porpens	VERcjg	porpenser
.	PONfrt	.

S'	CONsub	se
or	ADVgen	or
eüsse	VERcjg	avoir
ma	DETpos	mon
douce	ADJqua	doux
niece	NOMcom	niece
,	PONfbl	,
qui	PROrel	que
fu	VERcjg	estre
fille	NOMcom	fille
de	PRE	de
ma	DETpos	mon
suer	NOMcom	seror
Tiece	NOMpro	Tiece
,	PONfbl	,
dame	NOMcom	dame
fust	VERcjg	estre
or	ADVgen	or
de	PRE	de
mon	DETpos	mon
avoir	VERinf	avoir
.	PONfrt	.

El	PROper	il
s'	PROper	soi
en	PROadv	en
ala	VERcjg	aller
par	PRE	par
fol	ADJqua	fol
savoir	VERinf	savoir
hors	ADVgen	hors
du	PRE.DETdef	de.le
païs	NOMcom	päis
en	PRE	en
autre	DETind	autre
terre	NOMcom	terre
et	CONcoo	et
je	PROper	je
l'	PROper	il
ai	VERcjg	avoir
fete	VERppe	faire
maint	DETind	maint
jor	NOMcom	jor
qerre	VERinf	quérir
en	PRE	en
maint	DETind	maint
païs	NOMcom	päis
,	PONfbl	,
en	PRE	en
mainte	DETind	maint
vile	NOMcom	vile
.	PONfrt	.

Ahi	INJ	aï
!	PONfrt	!

Douce	ADJqua	douz
niece	NOMcom	niece
Mabile	NOMpro	Mabile
,	PONfbl	,
tant	ADVgen	tant
estiiez	VERcjg	estre
de	PRE	de
bon	ADJqua	bon
lingnage	NOMcom	lignage
!	PONfrt	!

Dont	PROint	dont
vous	PROper	vous
vint	VERcjg	venir
ore	ADVgen	or
cel	DETdem	cil
corage	NOMcom	corage
?	PONfrt	?

Or	ADVgen	or
sont	VERcjg	estre
tuit	DETind	tot
troi	PROcar	trois
mort	VERppe	mourir
mi	DETpos	mon
enfant	NOMcom	enfant
et	CONcoo	et
ma	DETpos	mon
fame	NOMcom	feme
dame	NOMcom	dame
Siersant	NOMpro	Sersant
.	PONfrt	.

Jamés	ADVgen	jamais
en	PRE	en
mon	DETpos	mon
cuer	NOMcom	cuer
n'	ADVneg	ne
avrai	VERcjg	avoir
joie	NOMcom	joie
devant	PRE	devant
cele	DETdem	cil
eure	NOMcom	heure
que	PROrel	que
je	PROper	je
voie	VERcjg	vëoir
ma	DETpos	mon
douce	ADJqua	doux
niece	NOMcom	niece
en	PRE	en
aucun	DETind	aucun
tans	NOMcom	tens
!	PONfrt	!

Lors	ADVgen	lors
me	PROper	je
rendisse	VERcjg	rendre
moines	NOMcom	moine
blans	ADJqua	blanc
.	PONfrt	.

Dame	NOMcom	dame
fust	VERcjg	estre
or	ADVgen	or
de	PRE	de
mon	DETpos	mon
avoir	VERinf	avoir
,	PONfbl	,
riche	ADJqua	riche
mari	NOMcom	mari
peüst	VERcjg	pöoir
avoir	VERinf	avoir
!	PONfrt	!

”	PONpdr	”
Ainsi	ADVgen	ainsi
la	PROper	il
plaint	VERcjg	plaindre
,	PONfbl	,
ainsi	ADVgen	ainsi
la	PROper	il
pleuere	VERcjg	pleurer
,	PONfbl	,
et	CONcoo	et
Mabile	NOMpro	Mabile
saut	VERcjg	salir
en	PRE	en
cele	DETdem	cil
eure	NOMcom	heure
.	PONfrt	.

Lez	PRE	lez
lui	PROper	il
s'	PROper	soi
assist	VERcjg	assëoir
et	CONcoo	et
dist	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Preudon	NOMcom	pro
,	PONfbl	,
dont	PROint	dont
estes	VERcjg	estre
vous	PROper	vous
et	CONcoo	et
vostre	DETpos	vostre
non	NOMcom	nom
?	PONfrt	?

“	PONpga	“
Je	PROper	je
ai	VERcjg	avoir
non	NOMcom	nom
Fouchier	NOMpro	*Fouchiers
de	PRE	de
la	DETdef	le
Brouce	NOMpro	Brouce
,	PONfbl	,
mes	CONcoo	mais
vous	PROper	vous
samblez	VERcjg	sembler
ma	DETpos	mon
niece	NOMcom	niece
douce	ADJqua	doux
plus	ADVgen	plus
que	CONsub	que
nule	DETind	nul
fame	NOMcom	feme
qui	PROrel	que
fust	VERcjg	estre
.	PONfbl	.
”	PONpdr	”
Cele	PROdem	cel
se	PROper	soi
pasme	VERcjg	pasmer
sor	PRE	sor
le	DETdef	le
fust	NOMcom	fust
.	PONfrt	.

Quant	CONsub	quand
se	PROper	soi
redrece	VERcjg	redrecier
,	PONfbl	,
si	ADVgen	si
dist	VERcjg	dire
tant	ADVgen	tant
:	PONfbl	:
“	PONpga	“
Or	ADVgen	or
ai	VERcjg	avoir
je	PROper	je
ce	PROdem	ce
que	PROrel	que
je	PROper	je
demant	VERcjg	demander
!	PONfrt	!

”	PONpdr	”
Puis	ADVgen	puis
si	ADVgen	si
l'	PROper	il
acole	VERcjg	acoler
et	CONcoo	et
si	ADVgen	si
l'	PROper	il
embrace	VERcjg	embrasser
et	CONcoo	et
puis	ADVgen	puis
li	PROper	il
bese	VERcjg	baiser
bouche	NOMcom	bouche
et	CONcoo	et
face	VERcjg	faire
que	CONsub	que
ja	ADVgen	ja
n'	ADVneg	ne
en	PROadv	en
samble	VERcjg	sembler
estre	VERinf	estre
saoule	ADJqua	sable
,	PONfbl	,
et	CONcoo	et
celui	PROdem	cel
qui	PROrel	que
molt	ADVgen	moult
sot	VERcjg	savoir
de	PRE	de
boule	NOMcom	boule
estraint	VERcjg	estreindre
les	DETdef	le
denz	NOMcom	dent
et	CONcoo	et
puis	ADVgen	puis
souspire	VERcjg	soupirer
.	PONfrt	.

“	PONpga	“
Bele	ADJqua	bel
niece	NOMcom	niece
,	PONfbl	,
ne	ADVneg	ne
vous	PROper	vous
puis	VERcjg	pöoir
dire	VERinf	dire
la	DETdef	le
grant	ADJqua	grant
joie	NOMcom	joie
que	PROrel	que
j'	PROper	je
ai	VERcjg	avoir
au	PRE.DETdef	a
cuer	NOMcom	cuer
!	PONfrt	!

Estes	VERcjg	estre
vous	PROper	vous
fille	NOMcom	fille
de	PRE	de
ma	DETpos	mon
suer	NOMcom	seror
?	PONfrt	?

“	PONpga	“
Oïl	ADVgen	öil
,	PONfbl	,
sire	NOMcom	seignor
,	PONfbl	,
de	PRE	de
dame	NOMcom	dame
Tiece	NOMpro	Tiece
.	PONfrt	.

“	PONpga	“
Molt	ADVgen	moult
ai	VERcjg	avoir
esté	VERppe	être
por	PRE	por
vous	PROper	vous
grant	ADJqua	grant
piece	NOMcom	piece
,	PONfbl	,
fet	VERcjg	faire
li	DETdef	le
vilains	NOMcom	vilain
,	PONfbl	,
sanz	PRE	sans
avoir	VERinf	avoir
aise	NOMcom	aise
!	PONfrt	!

”	PONpdr	”
Estroitement	ADVgen	étroitement
l'	PROper	il
acole	VERcjg	acoler
et	CONcoo	et
baise	VERcjg	baisier
.	PONfrt	.

Ainsi	ADVgen	ainsi
aus	PRE.DETdef	à.le
.ii	PROcar	deus
.	PONfrt	.

mainent	VERcjg	manoir
grant	ADJqua	grant
joie	NOMcom	joie
et	CONcoo	et
.ii	PROcar	deus
.	PONfrt	.

houliers	NOMcom	houlier
en	PRE	en
mi	NOMcom	mi
la	DETdef	le
voie	NOMcom	voie
issirent	VERcjg	issir
fors	ADVgen	fors
de	PRE	de
la	DETdef	le
meson	NOMcom	maison
.	PONfrt	.

Font	VERcjg	faire
li	PROper	il
houlier	VERinf	holiier
:	PONfbl	:
“	PONpga	“
Icist	DETdem	cist
preudon	NOMcom	pro
est	VERcjg	estre
il	PROper	il
or	ADVgen	or
nez	VERppe	naistre
de	PRE	de
vostre	DETpos	vostre
vile	NOMcom	vile
?	PONfrt	?

“	PONpga	“
Voir	ADVgen	voir
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
mon	DETpos	mon
oncle	NOMcom	oncle
,	PONfbl	,
dist	VERcjg	dire
Mabile	NOMpro	Mabile
,	PONfbl	,
dont	PROrel	dont
vous	PROper	vous
avoie	VERcjg	avoir
tant	ADVgen	tant
bien	ADVgen	bien
dit	VERppe	dire
!	PONfrt	!

”	PONpdr	”
Vers	PRE	vers
aus	PROper	il
se	PROper	soi
retorne	VERcjg	retorner
.i	PROcar	un
.	PONfrt	.

petit	ADJqua	petit
et	CONcoo	et
tret	VERcjg	traire
la	DETdef	le
langue	NOMcom	langue
et	CONcoo	et
tuert	VERcjg	tordre
la	DETdef	le
joe	NOMcom	jöe
,	PONfbl	,
et	CONcoo	et
li	DETdef	le
houlier	NOMcom	holier
refont	VERcjg	refaire
la	DETdef	le
moe	NOMcom	möe
.	PONfrt	.

“	PONpga	“
Est	VERcjg	estre
il	PROper	il
donc	ADVgen	donc
vostre	DETpos	vostre
oncle	NOMcom	oncle
?	PONfrt	?

”	PONpdr	”
“	PONpga	“
Oïl	ADVgen	öil
voir	ADVgen	voir
!	PONfrt	!

“	PONpga	“
Grant	ADJqua	grant
honor	NOMcom	honneur
i	PROadv	i
poez	VERcjg	pöoir
avoir	VERinf	avoir
et	CONcoo	et
il	PROper	il
en	PRE	en
vous	PROper	vous
sanz	PRE	sans
nul	DETind	nul
redout	NOMcom	redout
.	PONfrt	.

Et	CONcoo	et
vous	PROper	vous
preudom	NOMcom	pro
,	PONfbl	,
du	PRE.DETdef	de.le
tout	PROind	tout
en	PRE	en
tout	PROind	tout
,	PONfbl	,
font	VERcjg	faire
li	DETdef	le
houlier	VERinf	holiier
,	PONfbl	,
sommes	VERcjg	être
tuit	PROind	tot
vostre	ADJpos	vostre
.	PONfrt	.

Par	PRE	par
saint	ADJqua	saint
Piere	NOMpro	Pierre
le	DETdef	le
bon	ADJqua	bon
aspostre	NOMcom	aspostle
,	PONfbl	,
l'	DETdef	le
ostel	NOMcom	ostel
avrez	VERcjg	avoir
saint	ADJqua	saint
Julïen	NOMpro	Julien
.	PONfrt	.

Il	PROimp	il
n'	ADVneg	ne
a	VERcjg	avoir
homme	NOMcom	homme
jusqu'	PRE	jusque
a	PRE	a
Gïen	NOMpro	Gien
que	CONsub	que
plus	ADVgen	plus
de	PRE	de
vous	PROper	vous
eüssons	VERcjg	avoir
chier	ADJqua	chier
!	PONfrt	!

”	PONpdr	”
Par	PRE	par
les	DETdef	le
braz	NOMcom	braz
prenent	VERcjg	prendre
dant	NOMcom	dent
Fouchier	NOMpro	*Fouchiers
,	PONfbl	,
si	ADVgen	si
l'	PROper	il
ont	VERcjg	avoir
dedenz	PRE	dedans
lor	DETpos	lor
ostel	NOMcom	ostel
mis	VERppe	metre
.	PONfrt	.

“	PONpga	“
Or	ADVgen	or
tost	ADVgen	tost
