¶	ADJcar	¶
mes	CONcoo	mais
ainz	ADVgen	ainz
puis	ADVgen	puis
qu'	CONsub	que
il	PROper	il
l'	PROper	il
ot	VERcjg	avoir
espousee	VERppe	épouser
ne	ADVneg	ne
fu	VERcjg	estre
il	PROper	il
.i	PROind	un
.	PONfrt	.

jor	NOMcom	jor
sanz	PRE	sans
penssee	NOMcom	pensée
por	PRE	por
la	DETdef	le
grant	ADJqua	grant
biauté	NOMcom	biauté
qu'	PROrel	que
ele	PROper	il
avoit	VERcjg	avoir
.	PONfrt	.

Li	DETdef	le
boçus	ADJqua	boçus
si	ADVgen	si
jalous	ADJqua	jalos
estoit	VERcjg	estre
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
pooit	VERcjg	pöoir
avoir	VERinf	avoir
repos	NOMcom	repos
.	PONfrt	.

Toute	DETind	tout
jor	NOMcom	jor
estoit	VERcjg	estre
ses	DETpos	son
huis	NOMcom	uis
clos	VERppe	clore
.	PONfrt	.

Ja	ADVgen	ja
ne	ADVneg	ne
vousist	VERcjg	vouloir
que	CONsub	que
nus	PROind	nul
entrast	VERcjg	entrer
en	PRE	en
sa	DETpos	son
meson	NOMcom	maison
,	PONfbl	,
s'	CONsub	se
il	PROper	il
n'	ADVneg	ne
aportast	VERcjg	aporter
ou	CONcoo	o
s'	CONsub	se
il	PROper	il
emprunter	VERinf	emprunter
ne	ADVneg	ne
vousist	VERcjg	vouloir
.	PONfrt	.

Toute	DETind	tout
jor	NOMcom	jor
a	PRE	a
son	DETpos	son
sueil	NOMcom	soeil
seïst	VERcjg	sëoir
tant	ADVgen	tant
qu'	CONsub	que
il	PROimp	il
avint	VERcjg	advenir
a	PRE	a
.i	PROcar	un
.	PONfrt	.

Noel	NOMcom	noël
que	PROrel	que
troi	DETcar	trois
boçu	ADJqua	boçu
menesterel	NOMcom	ménesterel
vindrent	VERcjg	venir
a	PRE	a
lui	PROper	il
ou	PROrel	où
il	PROper	il
estoit	VERcjg	estre
,	PONfbl	,
se	ADVgen	si
li	PROper	il
dist	VERcjg	dire
chascuns	PROind	chascun
qu'	CONsub	que
il	PROper	il
voloit	VERcjg	voloir
fere	VERinf	faire
cele	DETdem	cil
feste	NOMcom	fête
avoec	PRE	avuec
lui	PROper	il
quar	CONcoo	car
en	PRE	en
la	DETdef	le
vile	NOMcom	vile
n'	ADVneg	ne
a	VERcjg	avoir
nului	PROind	nul
ou	PROrel	où
le	PROper	il
deüssent	VERcjg	devoir
fere	VERinf	faire
miex	ADVgen	mieux
por	PRE	por
ce	PROdem	ce
qu'	CONsub	que
il	PROper	il
ert	VERcjg	être
de	PRE	de
lor	DETpos	lor
pariex	NOMcom	pariel
et	CONcoo	et
boçus	ADJqua	boçus
ausi	ADVgen	aussi
comme	CONsub	comme
il	PROper	il
sont	VERcjg	estre
.	PONfrt	.

Lors	ADVgen	lors
les	PROper	il
maine	VERcjg	manoir
li	DETdef	le
sire	NOMcom	seignor
amont	ADVgen	amont
quar	CONcoo	car
la	DETdef	le
meson	NOMcom	maison
ert	VERcjg	être
a	PRE	a
degrez	NOMcom	degré
.	PONfrt	.

Li	DETdef	le
mengiers	NOMcom	mangier
estoit	VERcjg	estre
aprestez	VERppe	aprester
.	PONfrt	.

Tuit	PROind	tot
se	PROper	soi
sont	VERcjg	estre
au	PRE.DETdef	a
disner	NOMcom	dîner
assis	VERppe	assëoir
et	CONcoo	et
se	CONsub	se
le	DETdef	le
voir	NOMcom	voir
vous	PROper	vous
en	PROadv	en
devis	VERcjg	deviser
,	PONfbl	,
li	DETdef	le
disners	NOMcom	dîner
ert	VERcjg	être
et	CONcoo	et
biaus	ADJqua	bel
et	CONcoo	et
riches	ADJqua	riche
.	PONfrt	.

Li	DETdef	le
boçus	ADJqua	boçus
n'	ADVneg	ne
ert	VERcjg	être
avers	ADJqua	avers
ne	CONcoo	ne
chiches	ADJqua	chiche
,	PONfbl	,
ainz	ADVgen	ainz
assist	VERcjg	assëoir
bien	ADVgen	bien
ses	DETpos	son
compaignons	NOMcom	compagnon
.	PONfrt	.

Pois	ADVgen	puis
au	PRE.DETdef	a
lart	NOMcom	lart
orent	VERcjg	avoir
et	CONcoo	et
chapons	NOMcom	chapon
,	PONfbl	,
et	CONcoo	et
quant	CONsub	cant
ce	PROdem	ce
vint	VERcjg	venir
aprés	PRE	après
disner	VERinf	disner
,	PONfbl	,
si	ADVgen	si
lor	PROper	il
fist	VERcjg	faire
li	DETdef	le
sires	NOMcom	seignor
doner	VERinf	doner
aus	PRE.DETdef	à.le
.iii	PROcar	trois
.	PONfrt	.

boçus	ADJqua	boçus
,	PONfbl	,
ce	PROdem	ce
m'	PROper	je
est	VERcjg	estre
avis	NOMcom	avis
,	PONfbl	,
chascun	DETind	chascun
.xx	PROcar	vint
.	PONfrt	.

sous	NOMcom	sou
de	PRE	de
parisis	NOMcom	parisis
,	PONfbl	,
et	CONcoo	et
aprés	ADVgen	après
lor	PROper	il
a	VERcjg	avoir
desfendu	VERppe	défendre
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
soient	VERcjg	estre
jamés	ADVgen	jamais
veü	VERppe	vëoir
en	PRE	en
la	DETdef	le
meson	NOMcom	maison
ne	CONcoo	ne
el	PRE.DETdef	en
porpris	NOMcom	porpris
,	PONfbl	,
quar	CONcoo	car
s'	CONsub	se
il	PROper	il
i	PROadv	i
estoient	VERcjg	être
repris	VERppe	reprendre
,	PONfbl	,
il	PROper	il
avroient	VERcjg	avoir
.i	PROcar	un
.	PONfrt	.

baing	NOMcom	bain
cruel	ADJqua	crüel
de	PRE	de
la	DETdef	le
froide	ADJqua	froit
eve	NOMcom	aigue
du	PRE.DETdef	de.le
chanel	NOMcom	chanel
.	PONfrt	.

La	DETdef	le
meson	NOMcom	maison
ert	VERcjg	être
sor	PRE	sor
la	DETdef	le
riviere	NOMcom	riviere
qui	PROrel	que
molt	ADVgen	moult
estoit	VERcjg	estre
granz	ADJqua	grant
et	CONcoo	et
pleniere	ADJqua	plenier
.	PONfrt	.

Et	CONcoo	et
quant	CONsub	cant
li	DETdef	le
boçu	NOMcom	boçu
l'	PROper	il
ont	VERcjg	avoir
oï	VERppe	öir
,	PONfbl	,
tantost	ADVgen	tantôt
sont	VERcjg	estre
de	PRE	de
l'	DETdef	le
ostel	NOMcom	ostel
parti	VERppe	partir
volentiers	ADVgen	volentiers
et	CONcoo	et
a	PRE	a
chiere	NOMcom	chiere
lie	ADJqua	lié
,	PONfbl	,
quar	CONcoo	car
bien	ADVgen	bien
avoient	VERcjg	avoir
emploïe	VERppe	emploiier
lor	DETpos	lor
jornee	NOMcom	jornee
,	PONfbl	,
ce	PROdem	ce
lor	PROper	il
fu	VERcjg	estre
vis	NOMcom	vis
.	PONfrt	.

Et	CONcoo	et
li	DETdef	le
sires	NOMcom	seignor
s'	PROper	soi
en	PROadv	en
est	VERcjg	estre
partis	VERppe	partir
,	PONfbl	,
puis	ADVgen	puis
est	VERcjg	estre
deseur	PRE	dessure
le	DETdef	le
pont	NOMcom	pont
venuz	VERppe	venir
.	PONfrt	.

La	DETdef	le
dame	NOMcom	dame
,	PONfbl	,
qui	PROrel	que
ot	VERcjg	avoir
les	DETdef	le
boçuz	NOMcom	boçu
oï	VERppe	öir
chanter	VERinf	chanter
et	CONcoo	et
solacier	VERinf	solacier
,	PONfbl	,
les	PROper	il
fist	VERcjg	faire
toz	DETind	tot
.iii	PROcar	trois
.	PONfrt	.

mander	VERinf	mander
arrier	ADVgen	ariere
quar	CONcoo	car
oïr	VERinf	öir
les	PROper	il
voloit	VERcjg	voloir
chanter	VERinf	chanter
,	PONfbl	,
si	ADVgen	si
a	VERcjg	avoir
bien	ADVgen	bien
fet	VERppe	faire
les	DETdef	le
huis	NOMcom	uis
fermer	VERinf	fermer
.	PONfrt	.

Ainsi	ADVgen	ainsi
com	CONsub	come
li	DETdef	le
boçu	NOMcom	boçu
chantoient	VERcjg	chanter
et	CONcoo	et
o	PRE	o
la	DETdef	le
dame	NOMcom	dame
s'	PROper	soi
envoisoient	VERcjg	envoiser
,	PONfbl	,
ez	ADVgen	ez
vous	PROper	vous
revenu	VERppe	revenir
le	DETdef	le
seignor	NOMcom	seignor
qui	PROrel	que
n'	ADVneg	ne
ot	VERcjg	avoir
pas	ADVneg	pas
fet	VERppe	faire
trop	ADVgen	trop
lonc	ADJqua	lonc
demor	NOMcom	demor
.	PONfrt	.

A	PRE	a
l'	DETdef	le
uis	NOMcom	uis
apela	VERcjg	apeler
fierement	ADVgen	fièrement
.	PONfrt	.

La	DETdef	le
dame	NOMcom	dame
son	DETpos	son
seignor	NOMcom	seignor
entent	VERcjg	entendre
,	PONfbl	,
a	PRE	a
la	DETdef	le
voiz	NOMcom	voix
le	PROper	il
connut	VERcjg	connaître
molt	ADVgen	moult
bien	ADVgen	bien
.	PONfrt	.

Ne	ADVneg	ne
sot	VERcjg	savoir
en	PRE	en
cest	DETdem	cest
mont	NOMcom	monde
terrïen	ADJqua	terrien
que	PROrel	que
peüst	VERcjg	pöoir
fere	VERinf	faire
des	PRE.DETdef	de.le
boçuz	ADJqua	boçu
ne	CONcoo	ne
comment	ADVsub	comment
il	PROper	il
soient	VERcjg	estre
repus	VERppe	repondre
.	PONfrt	.

.I	PROcar	un
.	PONfrt	.

chạaliz	VERppe	chaloir
ot	VERcjg	avoir
lez	PRE	lez
le	DETdef	le
fouier	NOMcom	fouier
c'	PROrel	que
on	PROind	on
soloit	VERcjg	soloir
fere	VERinf	faire
charriier	VERinf	charrier
.	PONfrt	.

El	PRE.DETdef	en
chaaliz	NOMcom	calice
ot	VERcjg	avoir
.iii	PROcar	trois
.	PONfrt	.

escrins	NOMcom	escring
.	PONfrt	.

Que	PROint	que
vous	PROper	vous
diroie	VERcjg	dire
?	PONfrt	?

C'	PROdem	ce
est	VERcjg	estre
la	DETdef	le
fins	NOMcom	fin
:	PONfbl	:
en	PRE	en
chascun	PROind	chascun
a	VERcjg	avoir
mis	VERppe	metre
.i	PROcar	un
.	PONfrt	.

boçu	ADJqua	boçu
.	PONfrt	.

Ez	ADVgen	ez
vous	PROper	vous
le	DETdef	le
seignor	NOMcom	seignor
revenu	VERppe	revenir
,	PONfbl	,
si	ADVgen	si
s'	PROper	soi
est	VERcjg	estre
delez	PRE	dalez
la	DETdef	le
dame	NOMcom	dame
assis	VERppe	assëoir
qui	PROrel	que
molt	ADVgen	moult
par	ADVgen	par
seoit	VERcjg	sëoir
ses	DETpos	son
delis	NOMcom	délis
,	PONfbl	,
mes	CONcoo	mais
il	PROper	il
n'	ADVneg	ne
i	PROadv	i
sist	VERcjg	sëoir
pas	ADVneg	pas
longuement	ADVgen	longuement
.	PONfrt	.

De	PRE	de
leenz	ADVgen	laienz
ist	VERcjg	issir
et	CONcoo	et
si	ADVgen	si
descent	VERcjg	descendre
de	PRE	de
la	DETdef	le
meson	NOMcom	maison
,	PONfbl	,
et	CONcoo	et
si	ADVgen	si
s'	PROper	soi
en	PROadv	en
va	VERcjg	aler
.	PONfrt	.

A	PRE	a
la	DETdef	le
dame	NOMcom	dame
point	ADVneg	point
n'	ADVneg	ne
anuia	VERcjg	ennuyer
quant	CONsub	cant
son	DETpos	son
mari	NOMcom	mari
voit	VERcjg	vëoir
avaler	VERinf	avaler
.	PONfrt	.

Les	DETdef	le
boçus	ADJqua	boçus
en	PROadv	en
vout	VERcjg	voloir
fere	VERinf	faire
aler	VERinf	aler
qu'	CONsub	que
ele	PROper	il
avoit	VERcjg	avoir
repus	VERppe	repondre
es	PRE.DETdef	en.le
escrins	NOMcom	escring
,	PONfbl	,
mes	CONcoo	mais
toz	DETind	tot
.iii	PROcar	trois
.	PONfrt	.

les	PROper	il
trova	VERcjg	trover
estins	VERppe	éteindre
quant	CONsub	cant
ele	PROper	il
les	DETdef	le
escrins	NOMcom	escring
ouvri	VERcjg	ouvrir
.	PONfrt	.

De	PRE	de
ce	PROdem	ce
molt	ADVgen	moult
forment	ADVgen	fortement
s'	PROper	soi
esbahi	VERcjg	esbäir
quant	CONsub	cant
les	DETdef	le
.iii	PROcar	trois
.	PONfrt	.

boçus	ADJqua	boçus
mors	NOMcom	mors
trova	VERcjg	trover
.	PONfrt	.

A	PRE	a
l'	DETdef	le
uis	NOMcom	uis
vint	VERcjg	venir
corant	VERppa	corir
,	PONfbl	,
s'	ADVgen	si
apela	VERcjg	apeler
.i	PROind	un
.	PONfrt	.

porteur	NOMcom	porteur
qu'	PROrel	que
ele	PROper	il
a	VERcjg	avoir
avisé	VERppe	aviser
.	PONfrt	.

A	PRE	a
soi	PROper	soi
l'	PROper	il
a	VERcjg	avoir
la	DETdef	le
dame	NOMcom	dame
apelé	VERppe	apeler
.	PONfrt	.

Quant	CONsub	quand
li	DETdef	le
bachelers	NOMcom	bachelier
l'	PROper	il
a	VERcjg	avoir
oïe	VERppe	öir
,	PONfbl	,
a	PRE	a
li	PROper	il
corut	VERcjg	courir
,	PONfbl	,
n'	ADVneg	ne
atarja	VERcjg	atarger
mie	ADVneg	mie
.	PONfrt	.

“	PONpga	“
Amis	NOMcom	ami
,	PONfbl	,
dist	VERcjg	dire
ele	PROper	il
,	PONfbl	,
enten	VERcjg	entendre
a	PRE	a
moi	PROper	je
!	PONfrt	!

Se	CONsub	se
tu	PROper	tu
me	PROper	je
veus	VERcjg	vouloir
plevir	VERinf	plevir
ta	DETpos	ton
foi	NOMcom	foi
que	CONsub	que
tu	PROper	tu
ja	ADVgen	ja
ne	ADVneg	ne
m'	PROper	je
encuseras	VERcjg	encuser
d'	PRE	de
une	DETndf	un
rien	NOMcom	rien
que	PROrel	que
dire	VERinf	dire
m'	PROper	je
orras	VERcjg	öir
,	PONfbl	,
molt	ADVgen	moult
sera	VERcjg	estre
riches	ADJqua	riche
tes	DETpos	ton
loiers	NOMcom	loyer
.	PONfrt	.

.XXX	DETcar	trente
.	PONfrt	.

livres	NOMcom	livre
de	PRE	de
bons	ADJqua	bon
deniers	NOMcom	denier
te	PROper	tu
donrai	VERcjg	doner
quant	CONsub	cant
tu	PROper	tu
l'	PROper	il
avras	VERcjg	avoir
fet	VERppe	faire
.	PONfbl	.
”	PONpdr	”
Quant	CONsub	quand
li	DETdef	le
porteres	NOMcom	porteur
ot	VERcjg	avoir
tel	DETind	tel
plet	NOMcom	plait
,	PONfbl	,
fïancié	VERppe	fiancer
li	PROper	il
a	VERcjg	avoir
volentiers	ADVgen	volentiers
quar	CONcoo	car
il	PROper	il
covoitoit	VERcjg	covoitier
les	DETdef	le
deniers	NOMcom	denier
et	CONcoo	et
s'	PROper	soi
estoit	VERcjg	estre
auques	ADVgen	auques
entestez	VERppe	entester
.	PONfrt	.

Le	DETdef	le
grant	ADJqua	grant
cors	NOMcom	corps
monta	VERcjg	monter
les	DETdef	le
degrez	NOMcom	degré
.	PONfrt	.

La	DETdef	le
dame	NOMcom	dame
ouvri	VERcjg	ouvrir
l'	DETdef	le
un	PROind	un
des	PRE.DETdef	de.le
escrins	NOMcom	escring
.	PONfrt	.

“	PONpga	“
Amis	NOMcom	ami
,	PONfbl	,
ne	ADVneg	ne
soiez	VERcjg	estre
esbahis	VERppe	ébahir
.	PONfrt	.

Cest	DETdem	cest
mort	NOMcom	mort
en	PRE	en
l'	DETdef	le
eve	NOMcom	aigue
me	PROper	je
portez	VERcjg	porter
,	PONfbl	,
si	ADVgen	si
m'	PROper	je
avrez	VERcjg	avoir
molt	ADVgen	moult
servi	VERppe	servir
a	PRE	a
grez	NOMcom	gré
.	PONfrt	.
”	PONpdr	”
.I	PROcar	un
.	PONfrt	.

sac	NOMcom	sac
li	PROper	il
baille	VERcjg	baillier
et	CONcoo	et
cil	PROdem	cel
le	PROper	il
prant	VERcjg	prendre
.	PONfrt	.

Le	DETdef	le
boçu	ADJqua	boçu
bouta	VERcjg	bouter
enz	ADVgen	ens
errant	VERppa	errer
,	PONfbl	,
puis	ADVgen	puis
si	ADVgen	si
l'	PROper	il
a	VERcjg	avoir
a	PRE	a
son	DETpos	son
col	NOMcom	col
levé	VERppe	lever
,	PONfbl	,
si	ADVgen	si
a	VERcjg	avoir
les	DETdef	le
degrez	NOMcom	degré
avalé	VERppe	avaler
.	PONfrt	.

A	PRE	a
la	DETdef	le
riviere	NOMcom	riviere
vint	VERcjg	venir
corant	VERppa	corir
tout	ADVgen	tout
droit	ADVgen	droit
sor	PRE	sor
le	DETdef	le
grant	ADJqua	grant
pont	NOMcom	pont
devant	ADVgen	devant
.	PONfrt	.

En	PRE	en
l'	DETdef	le
eve	NOMcom	aigue
geta	VERcjg	jeter
le	DETdef	le
boçu	ADJqua	boçu
.	PONfrt	.

Onques	ADVgen	onque
n'	ADVneg	ne
i	PROadv	i
a	VERcjg	avoir
plus	ADVgen	plus
atendu	VERppe	atendre
,	PONfbl	,
ainz	ADVgen	ainz
retorna	VERcjg	retourner
vers	PRE	vers
la	DETdef	le
meson	NOMcom	maison
.	PONfrt	.

La	DETdef	le
dame	NOMcom	dame
a	VERcjg	avoir
ataint	VERppe	ataindre
du	PRE.DETdef	de.le
leson	NOMcom	laison
l'	DETdef	le
un	PROind	un
des	PRE.DETdef	de.le
boçus	ADJqua	boçus
a	PRE	a
molt	ADVgen	moult
grant	ADJqua	grant
paine	NOMcom	peine
.	PONfrt	.

A	PRE	a
poi	ADVgen	peu
ne	ADVneg	ne
li	PROper	il
failli	VERcjg	faillir
l'	DETdef	le
alaine	NOMcom	aleine
!	PONfrt	!

Molt	ADVgen	moult
fu	VERcjg	estre
au	PRE.DETdef	a
lever	VERinf	lever
traveillie	VERppe	travaillier
,	PONfbl	,
puis	ADVgen	puis
s'	PROper	soi
en	PROadv	en
est	VERcjg	estre
.i	PROind	un
.	PONfrt	.

pou	ADVgen	peu
esloingnie	VERcjg	esloignier
.	PONfrt	.

Cil	PROdem	cel
revint	VERcjg	revenir
arrier	ADVgen	ariere
eslessiez	VERppe	eslaissier
.	PONfrt	.

“	PONpga	“
Dame	NOMcom	dame
,	PONfbl	,
dist	VERcjg	dire
il	PROper	il
,	PONfbl	,
or	ADVgen	or
me	PROper	je
paiez	VERcjg	paiier
.	PONfrt	.

Du	PRE.DETdef	de.le
nain	NOMcom	nain
vous	PROper	vous
ai	VERcjg	avoir
bien	ADVgen	bien
delivree	VERppe	delivrer
!	PONfrt	!

“	PONpga	“
Por	PRE	por
qoi	PROint	quoi
m'	PROper	je
avez	VERcjg	avoir
vous	PROper	vous
or	ADVgen	or
gabee	VERppe	gaber
,	PONfbl	,
dist	VERcjg	dire
cele	PROdem	cel
,	PONfbl	,
sire	NOMcom	seignor
fols	ADJqua	fou
vilains	ADJqua	vilain
?	PONfrt	?

Ja	ADVgen	ja
est	VERcjg	estre
ci	ADVgen	ci
revenuz	VERppe	revenir
li	DETdef	le
nains	NOMcom	nain
!	PONfrt	!

Ainz	ADVgen	ains
en	PRE	en
l'	DETdef	le
eve	NOMcom	aigue
ne	ADVneg	ne
le	PROper	il
getastes	VERcjg	jeter
.	PONfrt	.

Ensamble	ADVgen	ensemble
o	PRE	o
vous	PROper	vous
le	PROper	il
ramenastes	VERcjg	ramener
!	PONfrt	!

Vez	VERcjg	vëoir
le	PROper	il
la	ADVgen	là
,	PONfbl	,
se	CONsub	se
ne	ADVneg	ne
m'	PROper	je
en	PROadv	en
creez	VERcjg	croire
!	PONfrt	!

“	PONpga	“
Comment	ADVint	comment
,	PONfbl	,
.c	PROcar	cent
.	PONfrt	.

deables	NOMcom	diable
maufez	VERppe	maufé
,	PONfbl	,
est	VERcjg	estre
il	PROper	il
donc	ADVgen	donc
revenuz	VERppe	revenir
ceanz	ADVgen	çaienz
?	PONfrt	?

Por	PRE	por
lui	PROper	il
sui	VERcjg	estre
forment	ADVgen	fortement
merveillanz	VERppa	merveiller
!	PONfrt	!

Il	PROper	il
estoit	VERcjg	estre
mors	VERppe	mourir
,	PONfbl	,
ce	PROdem	ce
m'	PROper	je
est	VERcjg	estre
avis	NOMcom	avis
!	PONfrt	!

C'	PROdem	ce
