“	PONpga	“
.	PONfrt	.

Com	CONsub	come
qu'	CONsub	que
il	PROper	il
seient	VERcjg	être
et	CONcoo	et
lonc	ADJqua	lonc
et	CONcoo	et
gros	ADJqua	gros
,	PONfbl	,
Ne	CONcoo	ne
lor	PROper	il
en	PRE	en
dolent	ADJqua	dolent
nerf	NOMcom	nerf
net	ADJqua	net
os	NOMcom	os
;	PONfbl	;
Li	DETdef	le
quatre	PROcar	catre
font	VERcjg	faire
,	PONfbl	,
sanz	PRE	sans
eols	PROper	eux
grever	VERinf	grever
,	PONfbl	,
Nuls	DETind	nul
oem	NOMcom	homme
nel	ADVneg.PROper	ne
out	VERcjg	avoir
ne	ADVneg	ne
s'	PROper	soi
i	PROadv	i
esmove	VERcjg	esmovoir
Et	CONcoo	et
le	DETdef	le
miracle	NOMcom	miracle
a	PRE	a
veir	NOMcom	voir
n'	ADVneg	ne
esproeve	VERcjg	épreuve
.	PONfrt	.

Chascuns	PROind	chascun
ki'n	PROrel	qui
oït	VERcjg	ouïr
noveler	VERinf	noveler
Vint	VERcjg	venir
la	DETdef	le
merveille	NOMcom	merveille
sormirer	VERinf	sormirer
,	PONfbl	,
Tuit	DETind	tous
cil	PROdem	cel
d'	PRE	de
oltre	PRE	outre
lo	DETdef	le
Braz	NOMcom	braz
Saint	ADJqua	saint
Jorie	NOMpro	Joire
uirent	VERcjg	voir
la	ADVgen	là
la	DETdef	le
victorie	NOMcom	victoire
,	PONfbl	,
A	PRE	a
la	DETdef	le
pulcele	NOMcom	pucelle
ki	PROrel	qui
ceo	PROdem	ce
fist	VERcjg	faire
,	PONfbl	,
E	CONcoo	et
a	PRE	a
son	DETpos	son
fiz	NOMcom	fils
Deu	NOMpro	Dieu
Jhesu	NOMpro	Jésus
Christ	NOMpro	Christ
En	PROadv	en
dirent	VERcjg	dire
glorie	NOMcom	gloire
,	PONfbl	,
grace	NOMcom	grâce
,	PONfbl	,
onors	NOMcom	honneur
Qu'	CONsub	que
il	PROper	il
toz	DETind	tot
tens	NOMcom	temps
aient	VERcjg	avoir
sanz	PRE	sans
decors	NOMcom	decors
,	PONfbl	,
Et	CONcoo	et
nos	PROper	nos
en	PROadv	en
facent	VERcjg	faire
parçoniers	NOMcom	parçonier
La	ADVgen	là
u	PROrel	où
li	DETdef	le
biens	NOMcom	bien
est	VERcjg	estre
plus	ADVgen	plus
pleniers	ADJqua	plenier
.	PONfrt	.

Amen	ETR	amen
.	PONfrt	.

Il	PROper	il
ad	VERcjg	avoir
dedenz	PRE	dedans
Jerusalem	NOMpro	Jérusalem
Ki	PROrel	qui
siet	VERcjg	sëoir
dejuste	PRE	dejoste
Belleem	NOMpro	Belléem
,	PONfbl	,
En	PRE	en
la	DETdef	le
citéd	NOMcom	cité
u	PROrel	où
Deus	NOMpro	Dieu
por	PRE	por
nos	PROper	nos
Sufrit	VERcjg	souffrir
martiries	NOMcom	martire
et	CONcoo	et
dolors	NOMcom	dolor
,	PONfbl	,
De	PRE	de
Nostre	DETpos	notre
Dame	NOMcom	dame
une	DETndf	un
abbeïe	NOMcom	abbaye
Ki	PROrel	qui
al	PRE.DETdef	à.le
son	ADJpos	son
nom	NOMcom	nom
fud	VERcjg	être
establie	VERppe	établir
;	PONfbl	;
L'	DETdef	le
eglise	NOMcom	église
claiment	VERcjg	clamer
la	DETdef	le
latine	NOMcom	latine
Li	DETdef	le
Surïan	NOMpro	Syrien
et	CONcoo	et
li	DETdef	le
Ermine	NOMpro	Ermine
;	PONfbl	;
De	PRE	de
plusurs	DETind	plusieurs
omes	NOMcom	homme
de	PRE	de
parage	NOMcom	parage
.	PONfrt	.

De	PRE	de
vielz	ADJqua	vieux
,	PONfbl	,
de	PRE	de
jofnes	ADJqua	jeune
en	PROadv	en
i	PROadv	i
ad	VERcjg	avoir
,	PONfbl	,
Selonc	PRE	selon
que	CONsub	que
Deus	NOMpro	Dieu
les	PROper	il
aspirat	VERcjg	épirer
.	PONfrt	.

Granz	ADJqua	grand
est	VERcjg	estre
la	DETdef	le
congregations	NOMcom	congrégation
Qui	PROrel	que
la	PROper	il
meintient	VERcjg	maintenir
devocions	NOMcom	devocïon
.	PONfrt	.

Li	DETdef	le
leus	NOMcom	lieu
de	PRE	de
la	DETdef	le
gent	NOMcom	gent
monïal	ADJqua	monial
N'	ADVneg	ne
est	VERcjg	estre
guaires	ADVgen	guère
loing	ADVgen	loing
del	PRE.DETdef	de
Ospital	NOMcom	hôpital
:	PONfbl	:
Endreit	PRE	endroit
la	DETdef	le
rue	NOMcom	rue
est	VERcjg	estre
del	PRE.DETdef	de
Sepulchre	NOMcom	sépulcre
U	PROrel	où
Surïan	NOMpro	Syrien
vendent	VERcjg	vendre
lu	DETdef	le
czucre	NOMcom	cucre
,	PONfbl	,
Peivre	NOMcom	poivre
,	PONfbl	,
girofle	NOMcom	girofle
et	CONcoo	et
gidoal	NOMcom	gidoal
,	PONfbl	,
Comin	NOMcom	comin
,	PONfbl	,
kanele	NOMcom	canele
et	CONcoo	et
galingal	NOMcom	galingal
E	CONcoo	et
tumiame	NOMcom	tumiame
et	CONcoo	et
licorice	NOMcom	licorice
Et	CONcoo	et
scamonie	NOMcom	scamonie
,	PONfbl	,
estrange	ADJqua	estrange
esspice	NOMcom	espece
,	PONfbl	,
Gengibre	NOMcom	gengibre
,	PONfbl	,
encens	NOMcom	ancens
,	PONfbl	,
basme	NOMcom	basme
et	CONcoo	et
triacle	NOMcom	triacle
Fait	VERppe	faire
de	PRE	de
un	DETndf	un
serpen	NOMcom	serpent
par	PRE	par
grant	ADJqua	grant
miracle	NOMcom	miracle
,	PONfbl	,
Paletre	NOMcom	paletre
,	PONfbl	,
mirre	NOMcom	mirre
et	CONcoo	et
aromat	NOMcom	aromat
,	PONfbl	,
Et	CONcoo	et
aloein	NOMcom	alloin
,	PONfbl	,
musgheliat	NOMcom	musgelie
,	PONfbl	,
Azzor	ADVgen	assore
grezzeis	NOMcom	grésois
et	CONcoo	et
orpiment	NOMcom	orpiment
,	PONfbl	,
Vert	NOMcom	vert
,	PONfbl	,
vermeillon	NOMcom	vermeillon
,	PONfbl	,
entoskement	ADVgen	entoschement
,	PONfbl	,
Esmaragdes	NOMcom	émeraude
,	PONfbl	,
jagonces	NOMcom	jagonce
,	PONfbl	,
jasspes	NOMcom	jaspe
,	PONfbl	,
Katablatis	NOMcom	catablati
,	PONfbl	,
boffuz	NOMcom	bofut
,	PONfbl	,
dïaspes	NOMcom	diaspe
,	PONfbl	,
Palies	NOMcom	poêle
?	PONfrt	?

P	PONpga	p
et	CONcoo	et
gonfanom	NOMcom	gonfanon
?	PONfrt	?

.	PONfrt	.

Molt	ADVgen	moult
est	VERcjg	estre
diverse	ADJqua	divers
la	DETdef	le
divice	NOMcom	divice
Qu'	CONsub	que
oem	PROind	on
vent	VERcjg	venir
en	PRE	en
la	DETdef	le
rue	NOMcom	rue
voltice	ADJqua	voûtis
.	PONfrt	.

L'	DETdef	le
abeïe	NOMcom	abbaye
est	VERcjg	estre
d'	PRE	de
antiquitét	NOMcom	antiquité
U	PROrel	où
maignent	VERcjg	mener
li	DETdef	le
bonoürét	VERppe	bonheurer
ANostre	PRE	anostre
Dame	NOMcom	dame
obeïssant	VERppa	obëir
En	PRE	en
fait	NOMcom	fait
,	PONfbl	,
en	PRE	en
dit	NOMcom	dit
et	CONcoo	et
en	PRE	en
semblant	VERppa	sembler
.	PONfrt	.

Sainz	ADJqua	saint
est	VERcjg	estre
li	DETdef	le
ordres	NOMcom	ordre
del	PRE.DETdef	de
mostier	NOMcom	mostier
U	PROrel	où
sont	VERcjg	estre
li	DETdef	le
Deu	NOMpro	Dieu
gomfanonier	NOMcom	gomfanoiier
;	PONfbl	;
Genz	ADJqua	gent
est	VERcjg	estre
del	PRE.DETdef	de
poeple	NOMcom	peuple
li	DETdef	le
aporz	NOMcom	aport
Et	CONcoo	et
por	PRE	por
les	DETdef	le
vis	NOMcom	vis
et	CONcoo	et
por	PRE	por
les	DETdef	le
morz	NOMcom	mort
,	PONfbl	,
La	DETdef	le
chose	NOMcom	chose
granz	ADJqua	grant
,	PONfbl	,
ki	PROrel	qui
la	PROper	il
devise	VERcjg	deviser
,	PONfbl	,
Ki	PROrel	qui
en	PRE	en
almosne	NOMcom	aumône
i	PROadv	i
est	VERcjg	estre
asise	VERppe	assëoir
.	PONfrt	.

Ore	ADVgen	or
avint	VERcjg	advenir
si	ADVgen	si
qu'	CONsub	que
a	PRE	a
un	DETndf	un
termine	NOMcom	termine
Orent	VERcjg	avoir
li	DETdef	le
moine	NOMcom	moine
grant	ADJqua	grant
famine	NOMcom	famine
,	PONfbl	,
E	CONcoo	et
lur	PROper	leur
faillit	VERcjg	faillir
frumenz	NOMcom	froment
et	CONcoo	et
vins	NOMcom	vin
,	PONfbl	,
Oelies	NOMcom	oloiie
et	CONcoo	et
fruiz	NOMcom	fruit
,	PONfbl	,
peisons	NOMcom	poisson
marins	ADJqua	marin
.	PONfrt	.

Il	PROper	il
nen	ADVneg	ne
orent	VERcjg	avoir
dunt	PROrel	dont
achater	VERinf	acheter
Ne	CONcoo	ne
le	PROper	il
digner	VERinf	digner
ne	CONcoo	ne
le	PROper	il
soper	VERinf	soper
.	PONfrt	.

Dous	DETcar	deux
jorz	NOMcom	jor
tuz	ADVgen	tout
pleins	ADJqua	plein
s'	PROper	soi
en	PROadv	en
consirerent	VERcjg	consirer
,	PONfbl	,
Qu'	CONcoo	que
onques	ADVgen	onque
des	PRE.DETdef	de.le
boches	NOMcom	bouche
n'	ADVneg	ne
en	PROadv	en
gosterent	VERcjg	goster
;	PONfbl	;
A	PRE	a
la	DETdef	le
vïande	NOMcom	viande
Les	DETdef	le
soens	PROpos	sien
eshalcet	VERcjg	exhausser
et	CONcoo	et
reclaime	VERcjg	reclamer
.	PONfrt	.

Deus	NOMpro	Dieu
ki	PROrel	qui
en	PROadv	en
li	PROper	il
prist	VERcjg	prendre
carnelment	ADVgen	charnellement
Humanitéd	NOMcom	humanité
por	PRE	por
salver	VERinf	sauver
gent	NOMcom	gent
,	PONfbl	,
Quant	CONsub	quand
el'en	PROind	ellen
fist	VERcjg	faire
conception	NOMcom	conception
Pulcele	NOMcom	pucelle
,	PONfbl	,
en	PRE	en
digne	ADJqua	digne
oblation	NOMcom	oblation
,	PONfbl	,
S'	DETpos	son
amor	NOMcom	amor
nos	PROper	nos
laist	VERcjg	laisser
si	ADVgen	si
deservir	VERinf	desservir
Que	CONsub	que
ne	ADVneg	ne
nos	PROper	nos
poisse	VERcjg	pouvoir
fous	NOMcom	feu
bruïr	VERinf	bruir
,	PONfbl	,
Ne	ADVneg	ne
faims	VERcjg	faire
del	PRE.DETdef	de
secle	NOMcom	siècle
desorter	VERinf	desorter
,	PONfbl	,
Ne	ADVneg	ne
seiz	VERcjg	être
confundre	VERinf	confondre
n'	CONcoo	ne
acorer	VERinf	acorer
,	PONfbl	,
Qu'	CONsub	que
od	PRE	o
li	PROper	il
poissoms	VERcjg	pouvoir
,	PONfbl	,
com	CONsub	come
geol	NOMcom	geuil
devis	VERcjg	deviser
,	PONfbl	,
La	DETdef	le
glorie	NOMcom	gloire
user	VERinf	user
en	PRE	en
cel	DETdem	cil
païs	NOMcom	päis
U	PROrel	où
ja	ADVgen	ja
n'	ADVneg	ne
avrat	VERcjg	avoir
,	PONfbl	,
si	ADVgen	si
com	CONsub	come
geo	PROper	je
crei	VERcjg	croire
,	PONfbl	,
Mal	NOMcom	mal
ne	CONcoo	ne
dolor	NOMcom	dolor
ne	CONcoo	ne
faim	NOMcom	faim
ne	ADVneg	ne
sei	VERcjg	savoir
.	PONfrt	.

Un	DETndf	un
evesque	NOMcom	évêque
out	VERcjg	avoir
en	PRE	en
Cappadoce	NOMpro	Cappadoce
,	PONfbl	,
Digne	ADJqua	digne
prelat	NOMcom	prélat
de	PRE	de
evesqual	ADJqua	évêchal
croce	NOMcom	croce
,	PONfbl	,
Selong	PRE	selon
l'	DETdef	le
esscrit	VERppe	écrire
par	PRE	par
nom	NOMcom	nom
Basile	NOMpro	Basile
,	PONfbl	,
Ki	PROrel	qui
molt	ADVgen	moult
ot	VERcjg	avoir
ceste	DETdem	cest
vie	NOMcom	vie
vile	ADJqua	vil
.	PONfrt	.

Molt	ADVgen	moult
amat	VERcjg	aimer
Deu	NOMpro	Dieu
et	CONcoo	et
or	ADVgen	or
le	PROper	il
trove	VERcjg	trover
,	PONfbl	,
Car	CONcoo	car
tot	ADVgen	tot
li	PROper	il
fait	VERcjg	faire
quancqu'il	PROrel.PROper	cant
li	PROper	il
rove	VERcjg	rover
.	PONfrt	.

De	PRE	de
sa	DETpos	son
deserte	NOMcom	desserte
ad	VERcjg	avoir
son	DETpos	son
loier	NOMcom	loyer
En	PRE	en
pareïs	NOMcom	paradis
sanz	PRE	sans
termeier	VERinf	termoyer
,	PONfbl	,
Por	PRE	por
toz	DETind	tot
tens	NOMcom	temps
maindre	VERinf	menor
en	PRE	en
veritét	NOMcom	vérité
E	CONcoo	et
en	PRE	en
parfaite	ADJqua	parfait
caritéd	NOMcom	charité
.	PONfrt	.

Dit	VERppe	dire
est	VERcjg	estre
es	PRE.DETdef	en.le
Deu	NOMpro	Dieu
commandemenz	NOMcom	commandement
E	CONcoo	et
fait	VERppe	faire
en	PROadv	en
est	VERcjg	estre
devisemenz	NOMcom	devisement
.	PONfrt	.

Un	DETndf	un
jor	NOMcom	jor
errot	VERcjg	errer
li	DETdef	le
cristïens	NOMcom	chrétien
A	PRE	a
icel	DETdem	cil
tens	NOMcom	temps
que	PROrel	que
Julïens	NOMpro	Julien
,	PONfbl	,
Li	DETdef	le
empereres	NOMcom	empereur
,	PONfbl	,
li	DETdef	le
tiranz	NOMcom	tyran
,	PONfbl	,
Li	DETdef	le
adversaries	NOMcom	adversarie
soduianz	VERppa	sosduire
,	PONfbl	,
Qui	PROrel	que
Deu	NOMpro	Dieu
guerpist	VERcjg	guerpir
por	PRE	por
aveir	VERinf	avoir
Rome	NOMpro	Rome
,	PONfbl	,
Com	CONsub	come
l'	DETdef	le
escripture	NOMcom	écriture
le	PROper	il
renome	VERcjg	renomer
,	PONfbl	,
Alat	VERcjg	aller
destruire	VERinf	détruire
cels	PROdem	cil
de	PRE	de
Perse	NOMpro	Perse
,	PONfbl	,
Icele	DETdem	cil
pute	ADJqua	put
gent	NOMcom	gent
adverse	ADJqua	adverse
.	PONfrt	.

Jusqu'	PRE	jusque
as	PRE.DETdef	à.le
parties	NOMcom	partie
de	PRE	de
Cesarie	NOMpro	Cesarie
Chevalchat	VERcjg	chevaucher
l'	DETdef	le
ost	NOMcom	ost
al	PRE.DETdef	à.le
adversarie	NOMcom	adversaire
.	PONfrt	.

Li	DETdef	le
buenz	ADJqua	bon
evesques	NOMcom	évêque
l'	PROper	il
encontrat	VERcjg	encontrer
,	PONfbl	,
Sil	ADVgen.PROper	si.le
reconut	VERcjg	reconnaître
et	CONcoo	et
saluat	VERcjg	salüer
,	PONfbl	,
Lui	PROper	il
et	CONcoo	et
sa	DETpos	son
compaignie	NOMcom	compagnie
tote	ADJind	tot
Qui	PROrel	que
od	PRE	o
lui	PROper	il
erent	VERcjg	être
en	PRE	en
la	DETdef	le
rote	NOMcom	rote
.	PONfrt	.

Li	DETdef	le
reis	NOMcom	roi
conut	VERcjg	conoistre
l'	DETdef	le
evesque	NOMcom	évêque
aseiz	VERppe	asseoir
,	PONfbl	,
Respont	VERcjg	répondre
contraries	PROper	contraire
et	CONcoo	et
afez	VERcjg	afaire
:	PONfbl	:
“	PONpga	“
Basilie	NOMpro	Basile
,	PONfbl	,
jeo	PROper	je
t'	PROper	tu
ai	VERcjg	avoir
sormontét	VERppe	surmonter
De	PRE	de
bien	ADVgen	bien
,	PONfbl	,
d'	PRE	de
enors	NOMcom	onor
et	CONcoo	et
de	PRE	de
bontét	NOMcom	bonté
.	PONfrt	.

“	PONpga	“
Mon	DETpos	mon
voel	NOMcom	vuel
m'	PROper	je
oüses	VERcjg	avoir
tu	PROper	tu
vencuz	VERppe	vaincre
,	PONfbl	,
Si	ADVgen	si
que	CONsub	que
cerz	ADJqua	cert
fuses	VERcjg	estre
de	PRE	de
saluz	NOMcom	salu
.	PONfbl	.
”	PONpdr	”
E	CONcoo	et
pur	PRE	pour
chertét	NOMcom	cherté
et	CONcoo	et
pur	PRE	pour
amor	NOMcom	amor
Treis	DETcar	trois
pains	NOMcom	pain
presente	ADJqua	présent
al	PRE.DETdef	à.le
boiseor	NOMcom	boisëor
.	PONfrt	.

D'	PRE	de
orge	NOMcom	orge
esteient	VERcjg	être
li	DETdef	le
pain	NOMcom	pain
tuit	PROind	tot
trai	VERppe	traire
Qu'	CONsub	que
offert	VERppe	ofrir
li	PROper	il
ad	VERcjg	avoir
par	PRE	par
bone	ADJqua	bon
fei	NOMcom	foi
,	PONfbl	,
N'	ADVneg	ne
aveit	VERcjg	avoir
nuls	DETind	nul
altres	ADJind	autre
simeneals	ADJqua	simeneau
N'	CONcoo	ne
autre	PROind	autre
de	PRE	de
u	PRE.DETdef	en.le
guasteal	NOMcom	gâteau
.	PONfrt	.

Li	DETdef	le
empereres	NOMcom	empereur
ere	VERcjg	être
fiers	ADJqua	fier
;	PONfbl	;
Si	ADVgen	si
apelat	VERcjg	appeler
ses	DETpos	son
despensiers	NOMcom	dépensier
:	PONfbl	:
“	PONpga	“
Pernez	VERcjg	prendre
,	PONfbl	,
ceo	PROdem	ce
dist	VERcjg	dire
,	PONfbl	,
cest	DETdem	cest
pain	NOMcom	pain
orgin	NOMcom	orgin
.	PONfrt	.

Fols	ADJqua	fou
m'	PROper	je
aportat	VERcjg	apporter
lo	DETdef	le
bléd	NOMcom	blé
asnin	ADJqua	asnin
.	PONfrt	.

Czo	PROdem	ce
est	VERcjg	estre
vïande	NOMcom	viande
jumentels	ADJqua	jommentel
;	PONfbl	;
En	PRE	en
vivre	VERinf	vivre
nos	PROper	nos
ad	VERcjg	avoir
fait	VERppe	faire
oëls	NOMcom	œil
;	PONfbl	;
Mais	CONcoo	mais
neporquant	ADVgen	neporcant
pernez	VERcjg	prendre
lo	DETdef	le
pain	NOMcom	pain
,	PONfbl	,
Si	ADVgen	si
li	PROper	il
donez	VERcjg	doner
encontre	PRE	encontre
fain	NOMcom	faim
.	PONfrt	.

Ore	ADVgen	or
li	PROper	il
rendez	VERcjg	rendre
fein	NOMcom	fein
por	PRE	por
l'	DETdef	le
anone	NOMcom	anone
;	PONfbl	;
Ne	CONcoo	ne
queil	OUT	no_lem
en	PRE	en
grét	NOMcom	gré
ceo	PROdem	ce
qu'	PROrel	que
il	PROper	il
me	PROper	je
done	VERcjg	doner
.	PONfbl	.
”	PONpdr	”
Cil	PROdem	cel
prent	VERcjg	prendre
lo	DETdef	le
fain	NOMcom	faim
entre	PRE	entre
ses	DETpos	son
mains	NOMcom	main
En	PRE	en
leu	NOMcom	lieu
de	PRE	de
guerredon	NOMcom	guerredon
des	PRE.DETdef	de.le
pains	NOMcom	pain
,	PONfbl	,
E	CONcoo	et
dit	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Reis	NOMcom	roi
riches	ADJqua	riche
,	PONfbl	,
tu	PROper	tu
mesfais	VERcjg	méfaire
;	PONfbl	;
Quant	CONsub	quand
tu	PROper	tu
norris	VERcjg	norrir
tes	DETpos	ton
bestes	NOMcom	beste
mues	ADJqua	mu
Si'n	ADJpos	sien
fais	NOMcom	faix
a	PRE	a
Deu	NOMpro	Dieu
descomvenues	VERppe	descomvenir
.	PONfrt	.

A	PRE	a
tun	DETpos	ton
grét	NOMcom	gré
sai	VERcjg	savoir
que	CONsub	que
m'	PROper	je
esscarnis	VERcjg	escharnir
.	PONfrt	.

Ceo	PROdem	ce
m'	PROper	je
as	VERcjg	avoir
donét	VERppe	donner
que	CONsub	que
ne	ADVneg	ne
fesis	VERcjg	faire
.	PONfbl	.
”	PONpdr	”
Entent	VERcjg	entendre
Julïens	NOMpro	Julien
lo	DETdef	le
regret	NOMcom	regré
:	PONfbl	:
Por	PRE	por
poi	ADVgen	peu
li	DETdef	le
queors	NOMcom	queur
ne	ADVneg	ne
li	PROper	il
remet	VERcjg	remetre
.	PONfrt	.

Li	DETdef	le
sancs	NOMcom	sang
li	PROper	il
montet	VERcjg	monter
sus	ADVgen	sus
el	PRE.DETdef	en
vis	NOMcom	vis
;	PONfbl	;
Respont	VERcjg	répondre
:	PONfbl	:
“	PONpga	“
Vassal	NOMcom	vassal
,	PONfbl	,
mar	ADVgen	mar
le	PROper	il
desis	VERcjg	dire
!	PONfrt	!

Se	CONsub	se
pois	VERcjg	pouvoir
de	PRE	de
Perse	NOMpro	Perse
revenir	VERinf	revenir
,	PONfbl	,
Geo	PROper	je
t'	PROper	tu
en	PROadv	en
quit	VERcjg	quiter
faire	VERinf	faire
repentir	VERinf	repentir
.	PONfrt	.

En	PRE	en
leu	NOMcom	lieu
de	PRE	de
pain	NOMcom	pain
serras	VERcjg	sëoir
poüz	VERppe	paître
De	PRE	de
fein	NOMcom	fein
qui	PROrel	que
ert	VERcjg	être
en	PRE	en
prét	NOMcom	pré
creüz	VERppe	croire
;	PONfbl	;
N'	ADVneg	ne
avras	VERcjg	avoir
nule	DETind	nul
altre	ADJind	autre
guarison	NOMcom	guérison
,	PONfbl	,
Mais	CONcoo	mais
de	PRE	de
cel	DETdem	cil
povre	ADJqua	povre
livreison	NOMcom	livroison
Geo	PROper	je
te	PROper	tu
ferai	VERcjg	faire
,	PONfbl	,
saches	VERcjg	savoir
por	PRE	por
veir	NOMcom	voir
,	PONfbl	,
El	PRE.DETdef	en
siecle	NOMcom	siècle
vivre	VERinf	vivre
et	CONcoo	et
non	ADVneg	non
valeir	VERinf	valoir
.	PONfrt	.

Ta	DETpos	ton
citét	NOMcom	cité
ert	VERcjg	être
tote	ADVgen	tot
destruite	VERppe	détruire
Et	CONcoo	et
a	PRE	a
grant	ADJqua	grant
doel	NOMcom	deuil
ta	DETpos	ton
gent	NOMcom	gent
deduite	VERppe	déduire
.	PONfrt	.

Ne	ADVneg	ne
plaindrat	VERcjg	plaindre
mere	NOMcom	mere
porteüre	NOMcom	porture
Ne	CONcoo	ne
peres	NOMcom	père
nuls	DETind	nul
s'	PROper	soi
engendreüre	NOMcom	engendrëure
;	PONfbl	;
Mere	NOMcom	mere
ne	ADVneg	ne
plorrat	VERcjg	plorer
ses	DETpos	son
enfanz	NOMcom	enfant
”	PONpdr	”

