Quel	DETrel	quel
gré	NOMcom	gré
se	PROper	soi
laissa	VERcjg	laisser
chaeir	VERinf	choir
;	PONfbl	;
Merveilles	NOMcom	merveille
peüssiez	VERcjg	pouvoir
veeir	VERinf	voir
!	PONfrt	!

En	PRE	en
la	DETdef	le
grant	ADJqua	grant
presse	NOMcom	presse
chaï	VERcjg	choir
jus	ADVgen	jus
,	PONfbl	,
Entre	PRE	entre
ses	DETpos	son
braz	NOMcom	braz
Petreïus	NOMpro	Pétreïus
.	PONfrt	.

Bos	NOMpro	Bos
tint	VERcjg	tenir
e	CONcoo	et
Petreïus	NOMpro	Pétreïus
traist	VERcjg	traire
;	PONfbl	;
Mult	ADVgen	moult
s'	PROper	soi
esforça	VERcjg	efforcer
qu'	CONsub	que
aler	VERinf	aler
l'en	PROind	loin
laist	VERcjg	laisser
.	PONfrt	.

Romein	NOMpro	Romain
curent	VERcjg	courir
a	PRE	a
la	DETdef	le
rescusse	NOMcom	rescusse
,	PONfbl	,
Ki	PROrel	qui
lance	NOMcom	lance
porte	VERcjg	porter
tost	ADVgen	tost
l'	PROper	il
estrusse	VERcjg	estrousser
;	PONfbl	;
Quant	CONsub	quand
les	DETdef	le
lances	NOMcom	lance
lur	PROper	leur
sunt	VERcjg	être
faillies	VERppe	faillir
,	PONfbl	,
As	PRE.DETdef	a
espees	NOMcom	espee
caplent	VERcjg	chapeler
furbies	VERppe	fourbir
;	PONfbl	;
Petreïum	NOMpro	Pétreïus
volent	VERcjg	voler
rescurre	VERinf	rescourre
E	CONcoo	et
Bretun	NOMpro	Breton
volent	VERcjg	voler
Bos	NOMpro	Bos
securre	VERinf	secourir
.	PONfrt	.

Mult	ADVgen	moult
veïssiez	VERcjg	voir
fiere	ADJqua	fier
asemblee	NOMcom	assemblée
,	PONfbl	,
Estur	NOMcom	estour
espés	ADJqua	épais
,	PONfbl	,
dure	ADJqua	dur
medlee	NOMcom	mêlée
,	PONfbl	,
Healmes	NOMcom	heaume
pleier	VERinf	plier
,	PONfbl	,
escuz	NOMcom	escu
percier	VERinf	percer
,	PONfbl	,
Halbercs	NOMcom	haubert
falser	VERinf	fausser
,	PONfbl	,
hanstes	NOMcom	hanste
brisier	VERinf	brisier
,	PONfbl	,
Seles	NOMcom	selle
voidier	VERinf	vuidier
,	PONfbl	,
seles	NOMcom	sele
turner	VERinf	tourner
,	PONfbl	,
Humes	NOMcom	homme
chaeir	VERinf	choir
,	PONfbl	,
humes	NOMcom	homme
nafrer	VERinf	navrer
;	PONfbl	;
Bretun	NOMpro	Breton
l'	DETdef	le
enseigne	NOMcom	enseigne
lur	DETpos	leur
seignur	NOMcom	seigneur
,	PONfbl	,
Cil	PROdem	cel
de	PRE	de
Rome	NOMpro	Rome
crient	VERcjg	criembre
la	DETdef	le
lur	PROpos	leur
.	PONfrt	.

Li	DETdef	le
un	PROind	un
s'	PROper	soi
esforcent	VERcjg	efforcer
que	CONsub	que
il	PROper	il
l'	PROper	il
aient	VERcjg	avoir
E	CONcoo	et
li	DETdef	le
altre	PROind	autre
tut	DETind	tout
tens	NOMcom	temps
l'en	PROind	loin
traient	VERcjg	traire
,	PONfbl	,
Avisunkes	ADVgen	avisonques
cuniseit	VERcjg	connaître
l'	DETdef	le
un	PROind	un
Ki	PROrel	qui
ert	VERcjg	être
Romein	NOMpro	Romain
,	PONfbl	,
ki	PROrel	qui
ert	VERcjg	être
Bretun	NOMpro	Breton
,	PONfbl	,
Fors	ADVgen	fors
as	PRE.DETdef	à.le
paroles	NOMcom	parole
e	CONcoo	et
as	PRE.DETdef	à.le
criz	NOMcom	cri
,	PONfbl	,
Tant	ADVgen	tant
iert	VERcjg	estre
espés	ADJqua	épais
li	DETdef	le
capleïz	NOMcom	chaplis
.	PONfrt	.

Walwein	NOMpro	Gauvain
par	PRE	par
la	DETdef	le
grant	ADJqua	grant
presse	NOMcom	presse
vait	VERcjg	aller
,	PONfbl	,
Od	PRE	o
s'	DETpos	son
espee	NOMcom	espee
la	DETdef	le
veie	NOMcom	voie
fait	VERcjg	faire
,	PONfbl	,
Fiert	VERcjg	férir
e	CONcoo	et
enpeint	VERcjg	empeindre
,	PONfbl	,
caplë	VERcjg	chapeler
e	CONcoo	et
bute	VERcjg	bouter
,	PONfbl	,
Maint	PROind	maint
en	PROadv	en
abat	VERcjg	abattre
,	PONfbl	,
meint	PROind	maint
en	PROadv	en
desrute	VERcjg	déruter
,	PONfbl	,
N'	ADVneg	ne
i	PROadv	i
ad	VERcjg	avoir
Romein	NOMpro	Romain
ki	PROrel	qui
ses	DETpos	son
cops	NOMcom	coup
veie	VERcjg	voir
Ki	PROrel	qui
ne	ADVneg	ne
li	PROper	il
face	VERcjg	faire
,	PONfbl	,
s'	CONsub	se
il	PROper	il
puet	VERcjg	pöoir
,	PONfbl	,
veie	NOMcom	voie
.	PONfrt	.

Yder	NOMpro	Yder
turne	VERcjg	tourner
de	PRE	de
l'	DETdef	le
altre	ADJind	autre
part	NOMcom	part
,	PONfbl	,
Ki	PROrel	qui
des	PRE.DETdef	de.le
Romeins	NOMpro	Romain
fait	VERcjg	faire
grant	ADJqua	grant
essart	NOMcom	essart
;	PONfbl	;
Gerin	NOMpro	Gerin
de	PRE	de
Chartres	NOMpro	Chartres
li	PROper	il
adiue	VERcjg	aider
.	PONfrt	.

Li	DETdef	le
un	PROind	un
pur	PRE	pour
l'	DETdef	le
autre	PROind	autre
s'	PROper	soi
esvertue	VERcjg	esvertüer
;	PONfbl	;
Petreïum	NOMpro	Pétreïus
unt	VERcjg	avoir
trespassé	VERppe	trépasser
E	CONcoo	et
Bos	NOMpro	Bos
od	PRE	o
lui	PROper	il
unt	VERcjg	avoir
adossé	VERppe	adosser
,	PONfbl	,
E	CONcoo	et
Bretun	NOMpro	Breton
unt	VERcjg	avoir
Bos	NOMpro	Bos
relevé	VERppe	relever
,	PONfbl	,
Sur	PRE	sur
un	DETndf	un
cheval	NOMcom	cheval
l'	PROper	il
unt	VERcjg	avoir
remunté	VERppe	remonter
.	PONfrt	.

Petreïum	NOMpro	Pétreïus
unt	VERcjg	avoir
retenu	VERppe	retenir
,	PONfbl	,
Ki	PROrel	qui
maint	DETind	maint
cop	NOMcom	coup
aveit	VERcjg	avoir
receü	VERppe	recevoir
;	PONfbl	;
Parmi	PRE	parmi
la	DETdef	le
presse	NOMcom	presse
l'	PROper	il
unt	VERcjg	avoir
mené	VERppe	mener
Dedenz	PRE	dedans
lur	DETpos	leur
force	NOMcom	force
a	PRE	a
salveté	NOMcom	sauveté
.	PONfrt	.

A	PRE	a
bones	ADJqua	bon
gardes	NOMcom	garde
l'	PROper	il
unt	VERcjg	avoir
laissié	VERppe	laisser
,	PONfbl	,
Puis	ADVgen	puis
unt	VERcjg	avoir
l'	DETdef	le
estur	NOMcom	estour
recumencié	VERppe	recommencer
.	PONfrt	.

Cil	PROdem	cel
furent	VERcjg	estre
senz	PRE	sans
meinteneür	NOMcom	mainteneur
Cume	CONsub	comme
nef	NOMcom	nef
senz	PRE	sans
guverneür	NOMcom	gouverneur
Que	PROrel	que
venz	NOMcom	vent
quel	DETrel	quel
part	NOMcom	part
que	PROrel	que
volt	VERcjg	vouloir
enpeint	VERcjg	empeindre
,	PONfbl	,
Quant	CONsub	quand
il	PROimp	il
n'	ADVneg	ne
i	PROadv	i
ad	VERcjg	avoir
ki	PROrel	qui
dreit	ADVgen	droit
la	PROper	il
meint	VERcjg	mener
;	PONfbl	;
Altresi	ADVgen	autressi
fud	VERcjg	être
de	PRE	de
la	DETdef	le
cumpaigne	NOMcom	compagne
Ki	PROrel	qui
ot	VERcjg	avoir
perdu	VERppe	perdre
sun	DETpos	son
chevetaine	NOMcom	chevetaine
;	PONfbl	;
Ne	ADVneg	ne
fud	VERcjg	être
mie	ADVneg	mie
puis	ADVgen	puis
defensable	ADJqua	défensable
Qu'	CONsub	que
el	PROper	il
ot	VERcjg	avoir
perdu	VERppe	perdre
sun	DETpos	son
cunestable	NOMcom	connétable
.	PONfrt	.

Bretun	NOMpro	Breton
les	PROper	il
vunt	VERcjg	aller
mult	ADVgen	moult
demenant	VERppa	démener
E	CONcoo	et
a	PRE	a
granz	ADJqua	grant
turbes	NOMcom	tourbe
abatant	VERppa	abattre
;	PONfbl	;
Les	DETdef	le
abatuz	NOMcom	abatu
vunt	VERcjg	aller
trespassant	VERppa	trespasser
E	CONcoo	et
les	DETdef	le
fuianz	VERppa	fuir
vunt	VERcjg	aller
ateignant	VERppa	atteindre
;	PONfbl	;
Les	DETdef	le
uns	PROind	un
pernent	VERcjg	prendre
,	PONfbl	,
les	DETdef	le
uns	PROind	un
ocient	VERcjg	occire
,	PONfbl	,
Les	DETdef	le
uns	PROind	un
despuillent	VERcjg	dépouiller
,	PONfbl	,
les	DETdef	le
uns	PROind	un
lient	VERcjg	lier
;	PONfbl	;
Puis	ADVgen	puis
runt	VERcjg	ravoir
retrait	VERppe	retraire
lur	DETpos	leur
cumpaignuns	NOMcom	compagnon
,	PONfbl	,
El	PRE.DETdef	en
bois	NOMcom	bois
vindrent	VERcjg	venir
a	PRE	a
lur	DETpos	leur
prisuns	NOMcom	prison
.	PONfrt	.

Petreïum	NOMpro	Pétreïus
en	PROadv	en
unt	VERcjg	avoir
porté	VERppe	porter
,	PONfbl	,
A	PRE	a
lur	DETpos	leur
seignur	NOMcom	seigneur
l'	PROper	il
unt	VERcjg	avoir
presenté	VERppe	présenter
,	PONfbl	,
Altres	DETind	autre
prisuns	NOMcom	prison
od	PRE	o
lui	PROper	il
asez	ADVgen	assez
;	PONfbl	;
Arthur	NOMpro	Arthur
les	PROper	il
en	PROadv	en
ad	VERcjg	avoir
merciez	VERppe	mercier
.	PONfrt	.

Puis	ADVgen	puis
lur	PROper	leur
ad	VERcjg	avoir
dit	VERppe	dire
,	PONfbl	,
se	CONsub	se
il	PROper	il
venqueit	VERcjg	vaincre
,	PONfbl	,
Que	CONsub	que
a	PRE	a
chascun	PROind	chascun
sun	DETpos	son
fieu	NOMcom	fief
creistreit	VERcjg	croître
.	PONfrt	.

Arthur	NOMpro	Arthur
fist	VERcjg	faire
les	DETdef	le
prisuns	NOMcom	prison
guarder	VERinf	garder
E	CONcoo	et
as	PRE.DETdef	à.le
guardes	NOMcom	garde
les	PROper	il
fist	VERcjg	faire
livrer	VERinf	livrer
;	PONfbl	;
Purparlé	VERppe	pourparler
ad	VERcjg	avoir
e	CONcoo	et
cunseil	NOMcom	conseil
pris	VERppe	prendre
Qu'	CONsub	que
il	PROper	il
les	PROper	il
tramettra	VERcjg	tramettre
a	PRE	a
Paris	NOMpro	Paris
;	PONfbl	;
En	PRE	en
chartre	NOMcom	charte
les	PROper	il
fera	VERcjg	faire
tenir	VERinf	tenir
Tant	ADVgen	tant
qu'	CONsub	que
il	PROper	il
en	PROadv	en
face	VERcjg	faire
sun	DETpos	son
plaisir	VERinf	plaisir
,	PONfbl	,
Kar	CONcoo	car
se	CONsub	se
il	PROper	il
en	PRE	en
l'	DETdef	le
ost	NOMcom	ost
les	PROper	il
retient	VERcjg	retenir
,	PONfbl	,
Cument	ADVgen	comment
que	CONsub	que
seit	VERcjg	être
perdre	VERinf	perdre
les	PROper	il
crient	VERcjg	criembre
.	PONfrt	.

Dunc	ADVgen	donc
aparailla	VERcjg	appareiller
quis	PROrel.PROper	qui.le
merra	VERcjg	mener
E	CONcoo	et
establi	VERcjg	établir
quis	PROrel.PROper	qui.le
cunduira	VERcjg	conduire
:	PONfbl	:
Chador	NOMpro	Cador
e	CONcoo	et
Borel	NOMpro	Borel
e	CONcoo	et
Richier	NOMpro	Richier
E	CONcoo	et
Beduer	NOMpro	Bédoier
le	DETdef	le
buteillier	NOMcom	bouteiller
,	PONfbl	,
Quatre	DETcar	quatre
cuntes	NOMcom	comte
de	PRE	de
bien	ADVgen	bien
halt	ADJqua	haut
lin	NOMcom	lin
,	PONfbl	,
Rova	VERcjg	rover
li	DETdef	le
reis	NOMcom	roi
lever	VERinf	lever
matin	NOMcom	matin
,	PONfbl	,
Ki	PROrel	qui
od	PRE	o
les	DETdef	le
prisuns	NOMcom	prison
tant	ADVgen	tant
alassent	VERcjg	aller
E	CONcoo	et
tant	ADVgen	tant
lunges	ADVgen	longues
les	PROper	il
cunveassent	VERcjg	convoyer
Que	CONsub	que
li	DETdef	le
meneür	NOMcom	meneur
seür	ADJqua	sëur
feussent	VERcjg	être
E	CONcoo	et
la	DETdef	le
dute	NOMcom	doute
passé	VERppe	passer
eüssent	VERcjg	avoir
.	PONfrt	.

L'	DETdef	le
emperere	NOMcom	empereur
par	PRE	par
ses	DETpos	son
espies	NOMcom	espie
Ot	VERcjg	avoir
tost	ADVgen	tost
les	DETdef	le
noveles	NOMcom	novele
oïes	VERppe	öir
Que	CONsub	que
cil	PROdem	cel
par	PRE	par
matin	NOMcom	matin
muvereient	VERcjg	mouvoir
Ki	PROrel	qui
les	DETdef	le
prisuns	NOMcom	prison
mener	VERinf	mener
deveient	VERcjg	devoir
.	PONfrt	.

Dis	DETcar	dix
mil	DETcar	mille
chevaliers	NOMcom	chevalier
fist	VERcjg	faire
munter	VERinf	monter
,	PONfbl	,
Tute	DETind	tout
noit	NOMcom	nuit
les	PROper	il
rova	VERcjg	rover
errer	VERinf	errer
Tant	ADVgen	tant
que	CONsub	que
les	DETdef	le
prisuns	NOMcom	prison
devancissent	VERcjg	devancir
,	PONfbl	,
S'	CONsub	se
il	PROper	il
poeient	VERcjg	pouvoir
sis	ADVgen.PROper	si.le
rescusissent	VERcjg	rescourre
.	PONfrt	.

Sertorius	NOMpro	Sertorius
,	PONfbl	,
de	PRE	de
Libe	NOMpro	Libye
sire	NOMcom	seignor
,	PONfbl	,
E	CONcoo	et
Evander	NOMpro	Evandre
,	PONfbl	,
li	DETdef	le
reis	NOMcom	roi
de	PRE	de
Sire	NOMpro	Syrie
,	PONfbl	,
E	CONcoo	et
de	PRE	de
Rome	NOMpro	Rome
Caricius	NOMpro	Caricïus
E	CONcoo	et
Catellus	NOMpro	Catellus
Vulteïus	NOMpro	Gualerteius
,	PONfbl	,
Chascun	PROind	chacun
de	PRE	de
ces	DETdem	ce
quatre	PROcar	catre
ot	VERcjg	avoir
grant	ADJqua	grant
terre	NOMcom	terre
E	CONcoo	et
chascun	PROind	chascun
fud	VERcjg	être
bien	ADVgen	bien
duit	VERppe	duire
de	PRE	de
guerre	NOMcom	guerre
,	PONfbl	,
Cil	PROdem	cel
furent	VERcjg	estre
eslit	VERppe	élire
e	CONcoo	et
sumuns	VERppe	semondre
D'	PRE	de
aler	VERinf	aler
rescurre	VERinf	rescourre
les	DETdef	le
prisuns	NOMcom	prison
,	PONfbl	,
Chevetaine	NOMcom	chevetaine
des	PRE.DETdef	de.le
altres	PROind	autre
furent	VERcjg	estre
.	PONfrt	.

Dis	DETcar	dix
mil	DETcar	mille
armez	VERppe	armer
,	PONfbl	,
le	DETdef	le
seir	NOMcom	soir
,	PONfbl	,
s'	PROper	soi
esmurent	VERcjg	émouvoir
;	PONfbl	;
Cil	PROdem	cel
del	PRE.DETdef	de
païs	NOMcom	päis
les	PROper	il
cundueient	VERcjg	conduire
,	PONfbl	,
Qui	PROrel	que
les	DETdef	le
dreites	ADJqua	droit
veies	NOMcom	voie
saveient	VERcjg	savoir
.	PONfrt	.

Tute	DETind	tout
nuit	NOMcom	nuit
unt	VERcjg	avoir
tant	ADVgen	tant
chevalchié	VERppe	chevauchier
E	CONcoo	et
chevalchant	VERppa	chevauchier
tant	ADVgen	tant
espleitié	VERppe	exploiter
,	PONfbl	,
El	PRE.DETdef	en
chemin	NOMcom	chemin
de	PRE	de
Paris	NOMpro	Paris
entrerent	VERcjg	entrer
,	PONfbl	,
Un	DETndf	un
lieu	NOMcom	lieu
cuvenable	ADJqua	convenable
troverent	VERcjg	trouver
A	PRE	a
faire	VERinf	faire
lur	DETpos	leur
enbuschement	NOMcom	enbuschement
;	PONfbl	;
Iloc	ADVgen	illuec
s'	PROper	soi
esturent	VERcjg	ester
coiement	ADVgen	coiement
.	PONfrt	.

Es	ADVgen	es
vus	PROper	vous
el	PRE.DETdef	en
mein	NOMcom	main
la	DETdef	le
gent	NOMcom	gent
Arthur	NOMpro	Arthur
Chevalchant	VERppa	chevauchier
alques	ADVgen	auques
aseür	ADJqua	assëur
,	PONfbl	,
E	CONcoo	et
nequedent	ADVgen	nequedent
agueit	ADJqua	aguet
dutoent	VERcjg	douter
;	PONfbl	;
En	PRE	en
dous	DETcar	deux
cumpaignes	NOMcom	compagne
chevalchoent	VERcjg	chevaucher
.	PONfrt	.

Chador	NOMpro	Cador
e	CONcoo	et
Borel	NOMpro	Borel
od	PRE	o
lur	DETpos	leur
gent	NOMcom	gent
Chevalchoent	VERcjg	chevaucher
premierement	ADVgen	premièrement
,	PONfbl	,
Li	DETdef	le
quens	NOMcom	comte
Richier	NOMpro	Richier
e	CONcoo	et
Beduer	NOMpro	Bédoier
,	PONfbl	,
Ki	PROrel	qui
les	DETdef	le
prisuns	NOMcom	prison
durent	VERcjg	devoir
garder	VERinf	garder
,	PONfbl	,
Od	PRE	o
cinc	DETcar	cinq
cenz	DETcar	cent
armez	VERppe	armer
les	PROper	il
sieweient	VERcjg	suivre
E	CONcoo	et
les	DETdef	le
prisuns	NOMcom	prison
mener	VERinf	mener
feseient	VERcjg	faire
,	PONfbl	,
Les	DETdef	le
puinz	NOMcom	poing
detriés	PRE	detriès
les	DETdef	le
dos	NOMcom	dos
lïez	VERppe	lier
E	CONcoo	et
desuz	PRE	dessous
les	DETdef	le
chevals	NOMcom	cheval
les	DETdef	le
piez	NOMcom	pié
.	PONfrt	.

Es	ADVgen	es
vus	PROper	vous
cels	PROdem	cil
devant	ADVgen	devant
sur	PRE	sur
l'	DETdef	le
agueit	NOMcom	aguet
Que	PROrel	que
cil	PROdem	cel
de	PRE	de
Rome	NOMpro	Rome
aveient	VERcjg	avoir
fait	VERppe	faire
,	PONfbl	,
E	CONcoo	et
Romein	NOMpro	Romain
saillent	VERcjg	salir
tuz	PROind	tous
ensemble	ADVgen	ensemble
,	PONfbl	,
Tute	DETind	tout
la	DETdef	le
terre	NOMcom	terre
crolle	VERcjg	crouler
e	CONcoo	et
tremble	VERcjg	trembler
!	PONfrt	!

Hardiement	ADVgen	hardiment
les	PROper	il
envaïrent	VERcjg	envahir
E	CONcoo	et
cil	PROdem	cel
forment	ADVgen	fortement
se	PROper	soi
defendirent	VERcjg	défendre
.	PONfrt	.

Beduer	NOMpro	Bédoier
e	CONcoo	et
Richier	NOMpro	Richier
oïrent	VERcjg	ouïr
La	DETdef	le
grant	ADJqua	grant
tumulte	NOMcom	tumulte
,	PONfbl	,
les	DETdef	le
cops	NOMcom	coup
virent	VERcjg	voir
;	PONfbl	;
Les	DETdef	le
prisuns	NOMcom	prison
firent	VERcjg	faire
arester	VERinf	arester
E	CONcoo	et
en	PRE	en
un	DETndf	un
lieu	NOMcom	lieu
seür	ADJqua	sëur
turner	VERinf	tourner
;	PONfbl	;
A	PRE	a
lur	DETpos	leur
escuiers	NOMcom	escuier
les	PROper	il
livrerent	VERcjg	livrer
E	CONcoo	et
a	PRE	a
garder	VERinf	garder
lur	PROper	leur
cumanderent	VERcjg	commander
.	PONfrt	.

Puis	ADVgen	puis
laissierent	VERcjg	laisser
chevals	NOMcom	cheval
aler	VERinf	aler
,	PONfbl	,
Ne	ADVneg	ne
cesserent	VERcjg	cesser
d'	PRE	de
espuruner	VERinf	éperonner
Des	ADVgen	des
qu'	CONsub	que
il	PROper	il
furent	VERcjg	estre
justé	VERppe	jouxter
as	PRE.DETdef	à.le
lur	PROpos	leur
;	PONfbl	;
Dunc	ADVgen	donc
se	PROper	soi
tindrent	VERcjg	tenir
a	PRE	a
grant	ADJqua	grant
vigur	NOMcom	vigueur
.	PONfrt	.

Romein	NOMpro	Romain
ça	ADVgen	ça
e	CONcoo	et
la	ADVgen	là
vunt	VERcjg	aller
puignant	VERppa	poindre
,	PONfbl	,
Ne	ADVneg	ne
voldrent	VERcjg	vouloir
mie	ADVneg	mie
entendre	VERinf	entendre
tant	ADVgen	tant
A	PRE	a
descunfire	VERinf	déconfire
les	DETdef	le
Bretuns	NOMpro	Breton
Cum	CONsub	comme
a	PRE	a
rescurre	VERinf	rescourre
les	DETdef	le
prisuns	NOMcom	prison
.	PONfrt	.

E	CONcoo	et
Bretun	NOMpro	Breton
ensemble	ADVgen	ensemble
puineient	VERcjg	poindre
E	CONcoo	et
ensemble	ADVgen	ensemble
se	PROper	soi
reteneient	VERcjg	retenir
,	PONfbl	,
Ensemble	ADVgen	ensemble
aloent	VERcjg	aller
e	CONcoo	et
veneient	VERcjg	venir
E	CONcoo	et
ensemble	ADVgen	ensemble
se	PROper	soi
defendeient	VERcjg	défendre
;	PONfbl	;
E	CONcoo	et
Romein	NOMpro	Romain
sus	ADVgen	sus
e	CONcoo	et
jus	ADVgen	jus
cureient	VERcjg	courir
,	PONfbl	,
Ça	ADVgen	ça
e	CONcoo	et
la	ADVgen	là
les	DETdef	le
prisuns	NOMcom	prison
quereient	VERcjg	quérir
;	PONfbl	;
As	PRE.DETdef	a
prisuns	NOMcom	prison
tant	ADVgen	tant
querre	VERinf	querre
entendirent	VERcjg	entendre
Que	CONsub	que
de	PRE	de
lur	DETpos	leur
gent	NOMcom	gent
mult	ADVgen	moult
i	PROadv	i
perdirent	VERcjg	perdre
.	PONfrt	.

Bretun	NOMpro	Breton
par	PRE	par
cunreiz	NOMcom	conroi
se	PROper	soi
partirent	VERcjg	partir
E	CONcoo	et
quatre	DETcar	quatre
eschieles	NOMcom	eschelle
establirent	VERcjg	établir
:	PONfbl	:
Chador	NOMpro	Cador
ot	VERcjg	avoir
les	DETdef	le
Cornualeis	NOMpro	Cornouaillais
E	CONcoo	et
Beduer	NOMpro	Bédoier
les	DETdef	le
Herupeis	NOMpro	Hurepoix
,	PONfbl	,
Richier	NOMpro	Richier
ot	VERcjg	avoir
des	PRE.DETdef	de.le
suens	PROpos	son
un	DETndf	un
conrei	NOMcom	conroi
,	PONfbl	,
Borel	NOMpro	Borel
ot	VERcjg	avoir
ces	PROdem	ce
del	PRE.DETdef	de
Maine	NOMpro	Maine
od	PRE	o
sei	PROper	soi
.	PONfrt	.

Li	DETdef	le
reis	NOMcom	roi
Evander	NOMpro	Evandre
aparçut	VERcjg	apercevoir
Que	CONsub	que
lur	DETpos	leur
force	NOMcom	force
e	CONcoo	et
lur	DETpos	leur
gent	NOMcom	gent
descrut	VERcjg	décroître
,	PONfbl	,
Ensemble	ADVgen	ensemble
les	PROper	il
fist	VERcjg	faire
tuz	PROind	tous
restraindre	VERinf	restreindre
,	PONfbl	,
Quant	CONsub	quand
as	PRE.DETdef	à.le
prisuns	NOMcom	prison
ne	ADVneg	ne
pot	VERcjg	pöoir
ateindre	VERinf	atteindre
,	PONfbl	,
Puis	ADVgen	puis
les	PROper	il
fist	VERcjg	faire
ensemble	ADVgen	ensemble
tenir	VERinf	tenir
E	CONcoo	et
ordeneement	ADVgen	ordonnément
ferir	VERinf	férir
.	PONfrt	.

Dunc	CONcoo	donc
en	PROadv	en
orent	VERcjg	avoir
Romeins	NOMpro	Romain
le	DETdef	le
pris	NOMcom	pris
E	CONcoo	et
as	PRE.DETdef	à.le
Bretuns	NOMpro	Breton
en	PROadv	en
fu	VERcjg	estre
le	DETdef	le
pis	NOMcom	pis
;	PONfbl	;
Mult	ADVgen	moult
les	PROper	il
greverent	VERcjg	grever
,	PONfbl	,
mult	ADVgen	moult
en	PROadv	en
pristrent	VERcjg	prendre
E	CONcoo	et
quatre	PROcar	catre
des	PRE.DETdef	de.le
meillors	ADJqua	meilleur
ocistrent	VERcjg	occire
:	PONfbl	:
Er	ADVgen	er
,	PONfbl	,
le	DETdef	le
fiz	NOMcom	fils
Yder	NOMpro	Yder
,	PONfbl	,
i	PROadv	i
fud	VERcjg	être
morz	VERppe	morir
,	PONfbl	,
Uns	DETndf	un
chevaliers	NOMcom	chevalier
vaillanz	ADJqua	valoir
e	CONcoo	et
forz	ADJqua	fort
,	PONfbl	,
E	CONcoo	et
Hyrelgas	NOMpro	Hyrelgas
de	PRE	de
Periron	NOMpro	Periron
,	PONfbl	,
N'	ADVneg	ne
i	PROadv	i
aveit	VERcjg	avoir
plus	ADVgen	plus
hardi	VERppe	hardi
nisun	NOMcom	nison
,	PONfbl	,
E	CONcoo	et
Aliduc	NOMpro	Aliduc
de	PRE	de
Tyntaiol	NOMpro	Tintagel
,	PONfbl	,
Dunt	PROrel	dont
si	DETpos	son
parent	NOMcom	parent
orent	VERcjg	avoir
grant	ADJqua	grant
dol	NOMcom	deuil
,	PONfbl	,
E	CONcoo	et
MauricChadorkeneneis	NOMpro	Maurichanee
,	PONfbl	,
Ne	ADVneg	ne
sai	VERcjg	savoir
s'	PROper	soi
esteit	VERcjg	être
Bret	NOMpro	Bret
u	CONcoo	ou
Gualeis	NOMpro	Gallois
.	PONfrt	.

Borel	NOMpro	Borel
del	PRE.DETdef	de
Mans	NOMpro	Mans
,	PONfbl	,
uns	DETndf	un
gentilz	ADJqua	gentil
cuens	NOMcom	conte
,	PONfbl	,
Ki	PROrel	qui
grant	ADJqua	grant
mestier	NOMcom	mestier
aveit	VERcjg	avoir
as	PRE.DETdef	à.le
suens	PROpos	son
,	PONfbl	,
Se	PROper	soi
cunteneit	VERcjg	contenir
hardiement	ADVgen	hardiment
E	CONcoo	et
mult	ADVgen	moult
amonestot	VERcjg	admonester
sa	DETpos	son
gent	NOMcom	gent
